name,seed,weights,filter,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.5,1,"[0, 1, 1, 1]",True,512,0.5,align=0.77,wv_linear_sm_0_aligns,0.8500000238418579,0.9200000166893004,0.96625,0.9295833333333334,0.935,0.9295833333333332,0.9624643921852112,0.9200000166893004,0.9475,0.8450000286102295,0.77
MTL0.5,0,"[32, 128, 1, 1]",True,512,0.5,align=0.94,wv_linear_sm_0_aligns,0.8999999761581421,0.8974999785423279,0.97375,0.9316666666666666,0.88375,0.955,0.953687310218811,0.8974999785423279,0.925,0.8849999904632568,0.94
MTL0.5,1,"[1, 0, 1, 1]",True,512,0.5,align=0.84,wv_linear_sm_0_aligns,0.8100000023841858,0.9474999904632568,0.9604166666666666,0.92625,0.9208333333333334,0.9683333333333334,0.9664512276649476,0.9474999904632568,0.9475,0.8100000023841858,0.84
MTL0.5,1,"[1, 1, 1, 1]",True,512,0.5,align=0.92,wv_linear_sm_0_aligns,0.9175000190734864,0.9399999976158142,0.97875,0.9383333333333334,0.91875,0.9633333333333334,0.9629517197608948,0.9399999976158142,0.9375,0.912500023841858,0.92
MTL0.5,0,"[1, 1, 1, 1]",True,512,0.5,align=0.92,wv_linear_sm_0_aligns,0.8974999785423279,0.9424999952316284,0.9758333333333334,0.9133333333333334,0.9116666666666666,0.9595833333333332,0.9608259797096252,0.9424999952316284,0.9325,0.9100000262260436,0.92
MTL0.5,0,"[1, 0, 1, 1]",True,512,0.5,align=0.84,wv_linear_sm_0_aligns,0.8274999856948853,0.9325000047683716,0.9533333333333333,0.8908333333333333,0.9141666666666666,0.9579166666666666,0.959218204021454,0.9325000047683716,0.94,0.8174999952316284,0.84
MTL0.5,0,"[0, 1, 1, 1]",True,512,0.5,align=0.77,wv_linear_sm_0_aligns,0.7925000190734863,0.9300000071525574,0.9733333333333332,0.9516666666666668,0.93625,0.9404166666666668,0.9649984836578368,0.9300000071525574,0.945,0.7850000262260437,0.77
MTL0.5,1,"[32, 128, 1, 1]",True,512,0.5,align=0.94,wv_linear_sm_0_aligns,0.912500023841858,0.9449999928474426,0.975,0.9225,0.9025,0.9416666666666668,0.966725528240204,0.9449999928474426,0.95,0.9175000190734864,0.94
MTL0.5,2,"[1, 1, 1, 1]",True,512,0.5,align=0.92,wv_linear_sm_0_aligns,0.8974999785423279,0.9300000071525574,0.9708333333333332,0.9120833333333334,0.9141666666666668,0.96,0.9659884572029114,0.9300000071525574,0.945,0.8924999833106995,0.92
MTL0.5,2,"[0, 1, 1, 1]",True,512,0.5,align=0.77,wv_linear_sm_0_aligns,0.8399999737739563,0.9350000023841858,0.9758333333333334,0.9520833333333334,0.9379166666666666,0.9216666666666667,0.9680076241493224,0.9350000023841858,0.925,0.8399999737739563,0.77
MTL0.5,2,"[1, 0, 1, 1]",True,512,0.5,align=0.84,wv_linear_sm_0_aligns,0.7549999952316284,0.912500023841858,0.95,0.9066666666666668,0.9054166666666666,0.9620833333333332,0.9624499678611756,0.912500023841858,0.935,0.7574999928474426,0.84
MTL0.5,2,"[32, 128, 1, 1]",True,512,0.5,align=0.94,wv_linear_sm_0_aligns,0.8999999761581421,0.9350000023841858,0.9691666666666666,0.935,0.8820833333333334,0.96875,0.9629226922988892,0.9350000023841858,0.94,0.8924999833106995,0.94
