wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d,align=0.8_filtered,TN,0,"[1, 0, 1, 1]",50,0.0,0.455,0.97987014,0.995,0.939,0.918,0.93,0.9325,1.0,0.9225,0.925,1.0,0.89,0.8925,1.0
wv_3d,align=0.8,MTL0.5,0,"[1, 0, 1, 1]",50,0.5,0.995,0.9755,0.995,0.94725,0.929,0.7825,0.7825,1.0,0.7775,0.78,1.0,0.7875,0.7875,1.0
wv_3d,align=0.8,MTL0.2,0,"[1, 0, 1, 1]",50,0.2,0.995,0.9708333,0.98,0.95,0.9235,0.75,0.7525,1.0,0.775,0.7775,1.0,0.77,0.775,1.0
wv_3d,align=0.925_filtered,MTL0.2,0,"[256, 1, 256, 256]",50,0.2,0.995,0.97513515,0.9975,0.89875,0.8644999999999999,0.935,0.935,1.0,0.9475,0.9475,1.0,0.965,0.965,1.0
wv_3d,align=0.8,TN,0,"[1, 0, 1, 1]",50,0.0,0.65,0.97816664,0.7975,0.95025,0.9305,0.7625,0.8,1.0,0.7875,0.815,1.0,0.8,0.8225,1.0
wv_3d,align=0.925_filtered,TN,0,"[256, 1, 256, 256]",50,0.0,0.5275,0.9768649,0.995,0.899,0.8567499999999999,0.9175,0.9175,1.0,0.915,0.915,1.0,0.915,0.9175,1.0
wv_3d,align=0.8,MTL0.8,0,"[1, 0, 1, 1]",50,0.8,0.995,0.97533333,0.995,0.94825,0.92475,0.7725,0.7725,1.0,0.7725,0.775,1.0,0.785,0.785,1.0
wv_3d,align=0.925_filtered,MTL0.5,0,"[256, 1, 256, 256]",50,0.5,0.995,0.9755676,0.995,0.8942499999999999,0.8505,0.945,0.945,1.0,0.9475,0.9475,1.0,0.95,0.95,1.0
wv_3d,align=0.925_filtered,MTL0.8,0,"[256, 1, 256, 256]",50,0.8,0.9975,0.9749189,0.9975,0.8932499999999999,0.84825,0.9425,0.945,1.0,0.9575,0.9575,1.0,0.94,0.9425,1.0
wv_3d,align=0.925,MTL0.2,0,"[256, 1, 256, 256]",50,0.2,0.995,0.973,0.985,0.9245,0.89375,0.8625,0.8675,1.0,0.9025,0.9075,1.0,0.9225,0.925,1.0
wv_3d,align=0.92_filtered,MTL0.2,0,"[1, 256, 256, 256]",50,0.2,0.9975,0.9729027,0.995,0.904,0.8717500000000001,0.9425,0.945,1.0,0.9275,0.93,1.0,0.935,0.9375,1.0
wv_3d,align=0.92_filtered,TN,0,"[1, 256, 256, 256]",50,0.0,0.5325,0.97030133,0.9975,0.90625,0.8737499999999999,0.9125,0.9125,1.0,0.9225,0.9225,1.0,0.9325,0.9325,1.0
wv_3d,align=0.925,TN,0,"[256, 1, 256, 256]",50,0.0,0.5325,0.96933335,0.82,0.91875,0.8855000000000001,0.8525,0.88,1.0,0.8975,0.9275,1.0,0.915,0.945,1.0
wv_3d,align=0.92_filtered,MTL0.5,0,"[1, 256, 256, 256]",50,0.5,0.995,0.9707349,0.995,0.9145,0.8772499999999999,0.9375,0.9375,1.0,0.945,0.9475,1.0,0.945,0.9475,1.0
wv_3d,align=0.925,MTL0.5,0,"[256, 1, 256, 256]",50,0.5,0.995,0.9755,0.995,0.917,0.881,0.8275,0.83,1.0,0.8825,0.8825,1.0,0.9075,0.905,1.0
wv_3d,align=0.92_filtered,MTL0.8,0,"[1, 256, 256, 256]",50,0.8,0.995,0.97116846,0.9975,0.89975,0.85825,0.9125,0.915,1.0,0.925,0.9275,1.0,0.9275,0.93,1.0
wv_3d,align=0.925,MTL0.8,0,"[256, 1, 256, 256]",50,0.8,0.995,0.96999997,0.995,0.91275,0.8755000000000001,0.8425,0.8425,1.0,0.905,0.9075,1.0,0.9125,0.915,1.0
wv_3d,align=0.92,MTL0.2,0,"[1, 256, 256, 256]",50,0.2,0.9975,0.9735,0.98,0.92675,0.8957500000000002,0.8725,0.875,1.0,0.9,0.905,1.0,0.9125,0.9175,1.0
wv_3d,align=1_filtered,TN,0,"[1, 1, 1, 1]",50,0.0,0.58,0.9688918,0.9975,0.88125,0.8195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1_filtered,MTL0.2,0,"[1, 1, 1, 1]",50,0.2,0.9975,0.9645712,0.995,0.88125,0.8175000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=0.92,TN,0,"[1, 256, 256, 256]",50,0.0,0.5675,0.9676667,0.8275,0.91925,0.8872499999999999,0.8675,0.8825,1.0,0.9075,0.925,1.0,0.915,0.9325,1.0
wv_3d,align=1_filtered,MTL0.5,0,"[1, 1, 1, 1]",50,0.5,0.9975,0.9660834,0.9975,0.8790000000000001,0.8140000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1_filtered,MTL0.8,0,"[1, 1, 1, 1]",50,0.8,0.9975,0.9442644,0.9975,0.86775,0.7914999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=0.92,MTL0.8,0,"[1, 256, 256, 256]",50,0.8,0.995,0.9683333,0.9975,0.9225,0.88825,0.9175,0.9175,1.0,0.9125,0.915,1.0,0.915,0.9175,1.0
wv_3d,align=0.92,MTL0.5,0,"[1, 256, 256, 256]",50,0.5,0.995,0.9645,0.9975,0.91975,0.88575,0.8875,0.8875,1.0,0.8975,0.8975,1.0,0.915,0.915,1.0
wv_3d,align=1,MTL0.2,0,"[1, 1, 1, 1]",50,0.2,0.995,0.9615,1.0,0.8862499999999999,0.8227499999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1,MTL0.5,0,"[1, 1, 1, 1]",50,0.5,0.9975,0.9618333,0.9975,0.8835000000000001,0.8227499999999999,1.0,0.9975,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1,TN,0,"[1, 1, 1, 1]",50,0.0,0.4775,0.9645,1.0,0.88825,0.8262499999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1,MTL0.8,0,"[1, 1, 1, 1]",50,0.8,0.995,0.96016663,0.9975,0.8852499999999999,0.826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=0.5_filtered,TN,1,"[0, 0, 1, 1]",50,0.0,0.6375,0.9696833,0.995,0.9365,0.9065,0.6625,0.6625,1.0,0.67,0.67,1.0,0.67,0.67,1.0
wv_3d,align=0.5_filtered,MTL0.2,1,"[0, 0, 1, 1]",50,0.2,0.995,0.9660634,0.995,0.932,0.9065,0.7125,0.7175,1.0,0.7075,0.7075,1.0,0.6825,0.6875,1.0
wv_3d,align=0.5_filtered,MTL0.5,1,"[0, 0, 1, 1]",50,0.5,0.995,0.9696833,0.995,0.9335,0.90425,0.6675,0.6725,1.0,0.68,0.685,1.0,0.6625,0.6675,1.0
wv_3d,align=0.5_filtered,MTL0.8,1,"[0, 0, 1, 1]",50,0.8,0.9975,0.96651584,0.9975,0.93475,0.9,0.7275,0.73,1.0,0.7125,0.715,1.0,0.6975,0.7,1.0
