,name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
182,MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.3,wv_3d_square_noisy,0.915000021457672,0.9800000190734864,0.7020833333333334,0.9416666666666668,0.6651666760444641,0.9800000190734864,0.995,0.9100000262260436,0.925,0.3
183,MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.3,wv_3d_square_noisy,0.9225000143051147,0.9950000047683716,0.74625,0.9354166666666668,0.668999969959259,0.9950000047683716,0.9975,0.9225000143051147,0.925,0.3
184,TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.2,wv_3d_square_noisy,0.8349999785423279,0.4600000083446502,0.6941666666666667,0.9779166666666668,0.7576666474342346,0.4600000083446502,0.955,0.6924999952316284,0.925,0.2
185,MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.2,wv_3d_square_noisy,0.9524999856948853,0.9950000047683716,0.7966666666666665,0.9504166666666668,0.7609999775886536,0.9950000047683716,0.995,0.9524999856948853,0.925,0.2
186,MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.2,wv_3d_square_noisy,0.9300000071525574,0.9975000023841858,0.7629166666666668,0.95625,0.7584999799728394,0.9975000023841858,0.995,0.9300000071525574,0.925,0.2
187,MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.2,wv_3d_square_noisy,0.8949999809265137,0.9950000047683716,0.7970833333333333,0.97125,0.7631666660308838,0.9950000047683716,0.995,0.8949999809265137,0.925,0.2
188,TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925_p=0.1,wv_3d_square_noisy,0.8224999904632568,0.4600000083446502,0.7516666666666666,0.9829166666666668,0.8523333072662354,0.4600000083446502,0.9625,0.6449999809265137,0.925,0.1
189,MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925_p=0.1,wv_3d_square_noisy,0.9200000166893004,0.9950000047683716,0.8341666666666666,0.97375,0.8448333144187927,0.9950000047683716,0.995,0.9200000166893004,0.925,0.1
190,MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925_p=0.1,wv_3d_square_noisy,0.8824999928474426,0.9975000023841858,0.8216666666666667,0.9708333333333332,0.8454999923706055,0.9975000023841858,0.9975,0.8824999928474426,0.925,0.1
191,MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925_p=0.1,wv_3d_square_noisy,0.8974999785423279,0.9975000023841858,0.84375,0.9716666666666668,0.8399999737739563,0.9975000023841858,0.9975,0.8974999785423279,0.925,0.1
