Unnamed: 0,Unnamed: 0.1,weights,aligns
,,"(0, 0, 0, 0)",0.46
,,"(0, 0, 0, 1)",0.475
,,"(0, 0, 0, 2)",0.475
,,"(0, 0, 0, 3)",0.475
,,"(0, 0, 0, 4)",0.475
,,"(0, 0, 0, 5)",0.475
,,"(0, 0, 0, 6)",0.475
,,"(0, 0, 0, 7)",0.475
,,"(0, 0, 1, 0)",0.475
,,"(0, 0, 1, 1)",0.475
,,"(0, 0, 1, 2)",0.475
,,"(0, 0, 1, 3)",0.475
,,"(0, 0, 1, 4)",0.475
,,"(0, 0, 1, 5)",0.475
,,"(0, 0, 1, 6)",0.475
,,"(0, 0, 1, 7)",0.475
,,"(0, 0, 2, 0)",0.475
,,"(0, 0, 2, 1)",0.475
,,"(0, 0, 2, 2)",0.475
,,"(0, 0, 2, 3)",0.475
,,"(0, 0, 2, 4)",0.475
,,"(0, 0, 2, 5)",0.475
,,"(0, 0, 2, 6)",0.475
,,"(0, 0, 2, 7)",0.475
,,"(0, 0, 3, 0)",0.475
,,"(0, 0, 3, 1)",0.475
,,"(0, 0, 3, 2)",0.475
,,"(0, 0, 3, 3)",0.475
,,"(0, 0, 3, 4)",0.475
,,"(0, 0, 3, 5)",0.475
,,"(0, 0, 3, 6)",0.475
,,"(0, 0, 3, 7)",0.475
,,"(0, 0, 4, 0)",0.475
,,"(0, 0, 4, 1)",0.475
,,"(0, 0, 4, 2)",0.475
,,"(0, 0, 4, 3)",0.475
,,"(0, 0, 4, 4)",0.475
,,"(0, 0, 4, 5)",0.475
,,"(0, 0, 4, 6)",0.475
,,"(0, 0, 4, 7)",0.475
,,"(0, 0, 5, 0)",0.475
,,"(0, 0, 5, 1)",0.475
,,"(0, 0, 5, 2)",0.475
,,"(0, 0, 5, 3)",0.475
,,"(0, 0, 5, 4)",0.475
,,"(0, 0, 5, 5)",0.475
,,"(0, 0, 5, 6)",0.475
,,"(0, 0, 5, 7)",0.475
,,"(0, 0, 6, 0)",0.475
,,"(0, 0, 6, 1)",0.475
,,"(0, 0, 6, 2)",0.475
,,"(0, 0, 6, 3)",0.475
,,"(0, 0, 6, 4)",0.475
,,"(0, 0, 6, 5)",0.475
,,"(0, 0, 6, 6)",0.475
,,"(0, 0, 6, 7)",0.475
,,"(0, 0, 7, 0)",0.475
,,"(0, 0, 7, 1)",0.475
,,"(0, 0, 7, 2)",0.475
,,"(0, 0, 7, 3)",0.475
,,"(0, 0, 7, 4)",0.475
,,"(0, 0, 7, 5)",0.475
,,"(0, 0, 7, 6)",0.475
,,"(0, 0, 7, 7)",0.475
,,"(0, 1, 0, 0)",0.79
,,"(0, 1, 0, 1)",0.825
,,"(0, 1, 0, 2)",0.8325
,,"(0, 1, 0, 3)",0.83
,,"(0, 1, 0, 4)",0.83
,,"(0, 1, 0, 5)",0.8175
,,"(0, 1, 0, 6)",0.815
,,"(0, 1, 0, 7)",0.815
,,"(0, 1, 1, 0)",0.825
,,"(0, 1, 1, 1)",0.8325
,,"(0, 1, 1, 2)",0.83
,,"(0, 1, 1, 3)",0.83
,,"(0, 1, 1, 4)",0.8175
,,"(0, 1, 1, 5)",0.815
,,"(0, 1, 1, 6)",0.815
,,"(0, 1, 1, 7)",0.815
,,"(0, 1, 2, 0)",0.8325
,,"(0, 1, 2, 1)",0.83
,,"(0, 1, 2, 2)",0.83
,,"(0, 1, 2, 3)",0.8175
,,"(0, 1, 2, 4)",0.815
,,"(0, 1, 2, 5)",0.815
,,"(0, 1, 2, 6)",0.815
,,"(0, 1, 2, 7)",0.8125
,,"(0, 1, 3, 0)",0.83
,,"(0, 1, 3, 1)",0.83
,,"(0, 1, 3, 2)",0.8175
,,"(0, 1, 3, 3)",0.815
