agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,rNINO_ds_acc,NINO_ds_err,NIFO_ds_err,rNINO_ds_err,NIs,NI_acc
MTL0s0,MTL0s0,MTL0,0,0.4749999940395355,0.825,0.7212499976158142,0.825,1.0,0.975,"[[4, 49, 91], [5, 25, 91], [7, 19, 91], [8, 0, 91], [9, 5, 91], [19, 58, 102], [38, 112, 29]]",[],"[[19, 58, 102]]","[ 39   5   5   5  49  25   5  19   0   5  25  29  25  29  29  29  25  29
  42  58  67  79  79  91  91  91  91  69  69  91  95 109 109  95 117 102
  95 117 112 103]",0.9
MTL0s0,MTL0s1,MTL0,1,0.550000011920929,0.9,0.7099999785423279,0.75,1.0,0.775,"[[2, 1, 74], [4, 25, 91], [5, 1, 60], [7, 14, 91], [8, 10, 74], [13, 46, 109], [19, 46, 109], [24, 78, 25], [29, 71, 53], [34, 114, 44]]",[],"[[2, 1, 66], [4, 25, 91], [7, 14, 60], [8, 10, 74], [13, 46, 109], [19, 46, 109], [24, 78, 10], [29, 71, 53], [34, 114, 44]]","[ 14  10   1  59  25   1  10  14  10  49  25  42  25  46  36  46  25  44
  42  46  91  66  62  60  78  89  71  70  91  71  93 109 114  93 114 110
  95 109 110 114]",0.5625
MTL0s0,MTL0s2,MTL0,2,0.4500000178813934,0.925,0.7212499976158142,0.7,1.0,0.725,"[[1, 19, 91], [2, 12, 89], [5, 29, 71], [6, 19, 91], [7, 19, 90], [8, 20, 61], [21, 70, 1], [24, 60, 5], [34, 99, 29], [35, 99, 29], [36, 99, 29], [38, 99, 29]]",[],"[[1, 19, 91], [2, 12, 89], [5, 29, 71], [6, 19, 91], [7, 19, 90], [8, 20, 61], [21, 70, 1], [24, 60, 5], [34, 99, 29], [35, 99, 29], [36, 99, 29]]","[ 21  19  12  19  49  29  19  19  20  19  29  29  29  29  29  29  29  29
  42  29  91  70  70  60  60  64  70  70  70  70  95  99 109  99  99  99
  99  97  99  95]",0.5
MTL0s0,MTL0s3,MTL0,3,0.550000011920929,0.95,0.7462499737739563,0.775,1.0,0.775,"[[4, 10, 81], [5, 10, 62], [6, 17, 91], [7, 8, 89], [8, 17, 89], [13, 46, 109], [17, 40, 109], [24, 85, 59], [39, 92, 34]]",[],"[[4, 10, 81], [5, 10, 66], [6, 17, 91], [7, 8, 89], [8, 17, 89], [13, 46, 109], [17, 40, 109], [24, 85, 5], [39, 92, 34]]","[ 18  49  10  59  10  10  17   8  17  20  43  53  25  46  53  53  53  40
  42  46  91  67  89  87  85  64  89  82  70  89  97 106 117 117 109 117
 117 106 117  92]",0.4875
MTL0s0,MTL0s4,MTL0,4,0.6000000238418579,0.925,0.7475000023841858,0.8,1.0,0.825,"[[5, 5, 91], [8, 16, 89], [12, 48, 86], [17, 40, 99], [24, 66, 5], [26, 75, 1], [29, 75, 5], [34, 99, 29]]",[],"[[5, 5, 91], [8, 16, 89], [12, 48, 86], [24, 66, 5], [26, 75, 1], [29, 75, 5], [34, 99, 29]]","[  0  11   1  20   1   5   5   7  16   5  48  48  48  36  46  36  25  40
  42  46  89  71  79  60  66  62  75  69  69  75  99  99  86 103  99 103
 117  86  99  86]",0.6375
MTL0s0,MTL0.2s0,MTL0.2,0,0.949999988079071,0.95,0.73499995470047,0.8,1.0,0.825,"[[1, 39, 91], [4, 14, 91], [5, 14, 91], [7, 19, 90], [9, 19, 91], [34, 112, 29], [35, 117, 29], [38, 112, 29]]",[],"[[1, 39, 91], [4, 14, 91], [5, 14, 81], [9, 19, 91], [34, 112, 29], [35, 117, 29], [38, 112, 29]]","[ 39  39  59  39  14  14  19  19  19  19  25  36  36  36  36  36  25  34
  54  58  67  67  67  71  91  69  88  69  69  91  93 113 109  95 112 117
  95  93 112 101]",0.75
MTL0s0,MTL0.2s1,MTL0.2,1,0.925000011920929,0.925,0.7437499761581421,0.85,1.0,0.875,"[[4, 1, 91], [7, 1, 91], [8, 10, 89], [11, 42, 110], [13, 46, 109], [29, 71, 1]]",[],"[[4, 1, 91], [8, 10, 89], [11, 42, 110], [13, 46, 109], [29, 71, 1]]","[ 20  10   1  59   1   1  10   1  10  49  25  42  53  46  36  46  25  42
  42  46  71  62  62  91  89  89  71  70  81  71  93 109  93 110 114 110
 114 109 110 114]",0.5375
MTL0s0,MTL0.2s2,MTL0.2,2,0.975000023841858,0.95,0.7337499856948853,0.725,1.0,0.775,"[[2, 12, 88], [5, 5, 91], [7, 19, 84], [8, 20, 61], [9, 12, 88], [10, 29, 91], [17, 40, 99], [19, 29, 102], [34, 112, 29], [35, 99, 29], [38, 102, 29]]",[],"[[2, 12, 88], [8, 20, 61], [9, 12, 88], [10, 29, 91], [17, 40, 99], [19, 29, 102], [34, 112, 29], [35, 99, 29], [38, 102, 29]]","[ 11  12  12   1  10   5  17  19  20  12  29  29  36  36  29  29  29  40
  42  29  89  61  70  60  91  66  88  70  70  66  95 109 109  95 112  99
  95  97 102  95]",0.55
MTL0s0,MTL0.2s3,MTL0.2,3,0.925000011920929,0.925,0.7450000047683716,0.85,1.0,0.875,"[[4, 10, 81], [6, 10, 91], [7, 5, 90], [9, 21, 88], [17, 40, 109], [19, 53, 114]]",[],"[[4, 10, 81], [6, 10, 91], [7, 5, 84], [9, 21, 88], [19, 53, 114]]","[ 18  19  10  59  10   5  10   5   5  21  43  53  36  36  53  53  53  40
  54  53  91  79  79  87  88  81  79  70  79  89 114 109 117 117 109 117
 117 106  99 114]",0.525
MTL0s0,MTL0.2s4,MTL0.2,4,0.949999988079071,0.95,0.7612499594688416,0.75,1.0,0.775,"[[1, 21, 91], [2, 1, 62], [7, 19, 90], [8, 21, 91], [12, 48, 64], [19, 41, 102], [32, 86, 29], [34, 114, 29], [35, 103, 29], [38, 117, 29]]",[],"[[1, 21, 91], [2, 1, 62], [8, 21, 91], [12, 48, 64], [19, 41, 102], [32, 86, 29], [34, 114, 29], [35, 103, 29], [38, 117, 29]]","[ 39  21   1   0   1  25  19  19  21  17  53  42  48  33  36  29  25  33
  42  41  91  91  79  89  66  62  71  69  69  62  95 114  86 103 114 103
  95 103 117 114]",0.65
