agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,rNINO_ds_acc,2_NINO_ds_acc,3_NINO_ds_acc,2_NIFO_ds_acc,3_NIFO_ds_acc,2_rNINO_ds_acc,3_rNINO_ds_acc,NIs,NI_acc
MTL0s0,MTL0s0,MTL0,0,0.4250000119209289,0.925,0.7162500023841858,0.925,1.0,1.0,0.925,0.925,1.0,1.0,1.0,1.0,"[[ 19]
 [ 20]
 [ 19]
 [ 16]
 [ 25]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 25]
 [ 36]
 [ 25]
 [ 42]
 [ 36]
 [ 29]
 [ 25]
 [ 58]
 [ 36]
 [ 58]
 [ 67]
 [ 67]
 [ 62]
 [ 81]
 [ 84]
 [ 81]
 [ 62]
 [ 81]
 [ 82]
 [ 81]
 [ 95]
 [109]
 [109]
 [ 95]
 [102]
 [102]
 [ 95]
 [ 95]
 [119]
 [102]]",0.9625
MTL0s0,MTL0s1,MTL0,1,0.5249999761581421,0.95,0.7362499833106995,0.825,1.0,0.85,0.95,0.95,1.0,1.0,0.95,0.95,"[[ 20]
 [ 20]
 [  1]
 [ 20]
 [ 20]
 [ 22]
 [ 20]
 [  1]
 [  1]
 [ 19]
 [ 25]
 [ 27]
 [ 27]
 [ 46]
 [ 36]
 [ 46]
 [ 36]
 [ 46]
 [ 42]
 [ 46]
 [ 80]
 [ 62]
 [ 62]
 [ 81]
 [ 76]
 [ 81]
 [ 62]
 [ 62]
 [ 91]
 [109]
 [109]
 [109]
 [109]
 [109]
 [ 99]
 [109]
 [103]
 [109]
 [ 99]
 [114]]",0.75
MTL0s0,MTL0s2,MTL0,2,0.375,0.925,0.70374995470047,0.95,1.0,0.95,0.925,0.95,1.0,1.0,0.925,0.95,"[[  9]
 [ 20]
 [  9]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 20]
 [ 48]
 [ 29]
 [ 36]
 [ 25]
 [ 54]
 [ 29]
 [ 25]
 [ 40]
 [ 42]
 [ 53]
 [ 91]
 [ 81]
 [ 61]
 [ 89]
 [ 85]
 [ 91]
 [ 61]
 [ 61]
 [ 70]
 [ 86]
 [ 95]
 [117]
 [102]
 [117]
 [ 99]
 [ 99]
 [101]
 [101]
 [ 99]
 [ 99]]",0.7
MTL0s0,MTL0s3,MTL0,3,0.574999988079071,0.875,0.7324999570846558,0.925,1.0,0.925,0.9,0.925,1.0,1.0,0.925,0.925,"[[ 19]
 [ 19]
 [ 19]
 [ 59]
 [ 10]
 [ 10]
 [ 19]
 [ 22]
 [ 19]
 [ 20]
 [ 53]
 [ 53]
 [ 53]
 [ 46]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 53]
 [ 46]
 [ 91]
 [ 67]
 [ 91]
 [ 87]
 [ 91]
 [ 81]
 [ 91]
 [ 70]
 [ 83]
 [ 89]
 [109]
 [109]
 [109]
 [117]
 [106]
 [109]
 [117]
 [109]
 [109]
 [109]]",0.8375
MTL0s0,MTL0s4,MTL0,4,0.574999988079071,0.95,0.7274999618530273,0.9,1.0,0.925,0.9,0.95,1.0,1.0,0.925,0.975,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 59]
 [  1]
 [ 20]
 [ 19]
 [ 20]
 [ 20]
 [ 25]
 [ 42]
 [ 25]
 [ 50]
 [ 36]
 [ 36]
 [ 25]
 [ 40]
 [ 42]
 [ 58]
 [ 67]
 [ 67]
 [ 67]
 [ 84]
 [ 84]
 [ 66]
 [ 62]
 [ 91]
 [ 89]
 [ 82]
 [109]
 [ 97]
 [109]
 [117]
 [103]
 [103]
 [117]
 [103]
 [114]
 [103]]",0.8625
MTL0s0,MTL0.2s0,MTL0.2,0,0.925000011920929,0.9,0.7099999785423279,0.925,1.0,0.925,0.925,0.925,1.0,1.0,0.925,0.925,"[[ 19]
 [ 20]
 [ 20]
 [ 20]
 [ 25]
 [ 20]
 [ 20]
 [ 25]
 [ 14]
 [ 20]
 [ 25]
 [ 29]
 [ 25]
 [ 29]
 [ 29]
 [ 29]
 [ 25]
 [ 40]
 [ 36]
 [ 58]
 [ 67]
 [ 79]
 [ 62]
 [ 81]
 [ 84]
 [ 81]
 [ 62]
 [ 69]
 [ 81]
 [ 81]
 [ 95]
 [109]
 [109]
 [ 95]
 [102]
 [102]
 [ 95]
 [ 99]
 [119]
 [109]]",0.875
MTL0s0,MTL0.2s1,MTL0.2,1,0.949999988079071,0.925,0.7174999713897705,0.95,1.0,0.95,0.95,0.95,1.0,1.0,0.95,0.95,"[[ 19]
 [ 20]
 [ 19]
 [ 20]
 [ 19]
 [ 19]
 [ 19]
 [ 19]
 [ 14]
 [ 19]
 [ 25]
 [ 42]
 [ 42]
 [ 41]
 [ 36]
 [ 46]
 [ 25]
 [ 42]
 [ 42]
 [ 46]
 [ 67]
 [ 67]
 [ 62]
 [ 67]
 [ 67]
 [ 64]
 [ 91]
 [ 91]
 [ 67]
 [109]
 [109]
 [109]
 [ 93]
 [ 99]
 [ 96]
 [109]
 [ 99]
 [109]
 [ 99]
 [114]]",0.85
MTL0s0,MTL0.2s2,MTL0.2,2,0.949999988079071,0.95,0.6974999904632568,0.95,1.0,0.95,0.95,0.95,1.0,1.0,0.95,0.95,"[[ 21]
 [ 20]
 [ 23]
 [ 20]
 [ 10]
 [ 19]
 [ 20]
 [ 20]
 [ 19]
 [ 19]
 [ 48]
 [ 42]
 [ 48]
 [ 36]
 [ 54]
 [ 29]
 [ 48]
 [ 42]
 [ 42]
 [ 46]
 [ 67]
 [ 82]
 [ 82]
 [ 60]
 [ 91]
 [ 91]
 [ 61]
 [ 70]
 [ 70]
 [109]
 [ 95]
 [109]
 [109]
 [109]
 [109]
 [109]
 [ 95]
 [109]
 [109]
 [109]]",0.775
MTL0s0,MTL0.2s3,MTL0.2,3,0.925000011920929,0.925,0.737500011920929,0.9,1.0,0.95,0.875,0.9,1.0,1.0,0.925,0.925,"[[ 10]
 [ 19]
 [ 20]
 [ 59]
 [ 10]
 [ 10]
 [ 19]
 [ 10]
 [ 20]
 [ 20]
 [ 25]
 [ 53]
 [ 48]
 [ 41]
 [ 54]
 [ 53]
 [ 53]
 [ 44]
 [ 53]
 [ 41]
 [ 91]
 [ 67]
 [ 79]
 [ 60]
 [ 84]
 [ 81]
 [ 82]
 [ 70]
 [ 83]
 [ 82]
 [109]
 [113]
 [102]
 [117]
 [109]
 [102]
 [102]
 [109]
 [109]
 [109]]",0.8625
MTL0s0,MTL0.2s4,MTL0.2,4,0.949999988079071,0.925,0.7174999713897705,0.925,1.0,0.925,0.925,0.925,1.0,1.0,0.925,0.95,"[[ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 53]
 [ 46]
 [ 48]
 [ 50]
 [ 46]
 [ 36]
 [ 48]
 [ 34]
 [ 42]
 [ 46]
 [ 91]
 [ 71]
 [ 91]
 [ 84]
 [ 84]
 [ 66]
 [ 91]
 [ 91]
 [ 82]
 [ 82]
 [109]
 [113]
 [109]
 [109]
 [114]
 [103]
 [117]
 [109]
 [109]
 [103]]",0.8
