name,seed,weights,filter,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.5,2,"[32, 128, 1, 1]",False,512,0.5,align=0.94,wv_linear_sm_aligns,0.8349999785423279,0.9524999856948853,0.8975,0.9345833333333332,0.7866666666666667,0.9120833333333334,0.9606250524520874,0.9524999856948853,0.95,0.824999988079071,0.94
MTL0.5,2,"[1, 0, 1, 1]",False,512,0.5,align=0.84,wv_linear_sm_aligns,0.4900000095367432,0.9300000071525574,0.6775000000000001,0.7125,0.575,0.7008333333333333,0.7665000557899475,0.9375,0.94,0.4925000071525574,0.84
MTL0.5,2,"[0, 1, 1, 1]",False,512,0.5,align=0.82,wv_linear_sm_aligns,0.5074999928474426,0.9325000047683716,0.6629166666666667,0.7483333333333334,0.5775,0.7174999999999999,0.7611250281333923,0.9424999952316284,0.9425,0.5074999928474426,0.82
MTL0.5,0,"[32, 128, 1, 1]",False,512,0.5,align=0.94,wv_linear_sm_aligns,0.8525000214576721,0.9399999976158142,0.8995833333333333,0.9483333333333333,0.7833333333333333,0.91875,0.9610000252723694,0.9399999976158142,0.9375,0.8550000190734863,0.94
MTL0.5,1,"[0, 32, 1, 1]",False,512,0.5,align=0.77,wv_linear_sm_aligns,0.5824999809265137,0.912500023841858,0.7999999999999999,0.9225,0.70375,0.8745833333333334,0.9323664903640748,0.912500023841858,0.9375,0.5799999833106995,0.77
MTL0.5,1,"[0, 1, 1, 1]",False,512,0.5,align=0.82,wv_linear_sm_aligns,0.5724999904632568,0.925000011920929,0.6866666666666666,0.7354166666666666,0.6070833333333333,0.7079166666666667,0.7638750076293945,0.9424999952316284,0.9425,0.5724999904632568,0.82
MTL0.5,0,"[1, 1, 1, 1]",False,512,0.5,align=0.92,wv_linear_sm_aligns,0.5600000023841858,0.9350000023841858,0.6883333333333334,0.7170833333333334,0.5829166666666667,0.6991666666666667,0.7822500467300415,0.9375,0.94,0.5575000047683716,0.92
MTL0.5,2,"[1, 1, 1, 1]",False,512,0.5,align=0.92,wv_linear_sm_aligns,0.5600000023841858,0.9449999928474426,0.7129166666666666,0.7362500000000001,0.605,0.72625,0.7828750610351562,0.9474999904632568,0.9425,0.5575000047683716,0.92
MTL0.5,1,"[32, 128, 1, 1]",False,512,0.5,align=0.94,wv_linear_sm_aligns,0.8174999952316284,0.9325000047683716,0.9,0.9520833333333334,0.7783333333333333,0.9279166666666666,0.9578750729560852,0.9325000047683716,0.9425,0.8149999976158142,0.94
MTL0.5,2,"[0, 32, 1, 1]",False,512,0.5,align=0.77,wv_linear_sm_aligns,0.5724999904632568,0.9424999952316284,0.7841666666666667,0.9225,0.6808333333333333,0.8708333333333332,0.9251155853271484,0.9424999952316284,0.9525,0.5824999809265137,0.77
MTL0.5,1,"[1, 1, 1, 1]",False,512,0.5,align=0.92,wv_linear_sm_aligns,0.5575000047683716,0.9325000047683716,0.71,0.7799999999999999,0.5950000000000001,0.7145833333333332,0.784000039100647,0.9375,0.945,0.5550000071525574,0.92
MTL0.5,1,"[1, 0, 1, 1]",False,512,0.5,align=0.84,wv_linear_sm_aligns,0.5024999976158142,0.9375,0.6783333333333333,0.6924999999999999,0.5745833333333333,0.6929166666666666,0.752625048160553,0.9449999928474426,0.95,0.5049999952316284,0.84
MTL0.5,0,"[0, 32, 1, 1]",False,512,0.5,align=0.77,wv_linear_sm_aligns,0.5724999904632568,0.9399999976158142,0.7991666666666667,0.9204166666666668,0.71375,0.8829166666666666,0.9293661117553712,0.9399999976158142,0.9475,0.574999988079071,0.77
MTL0.5,0,"[1, 0, 1, 1]",False,512,0.5,align=0.84,wv_linear_sm_aligns,0.5299999713897705,0.9325000047683716,0.6945833333333334,0.6958333333333333,0.58375,0.6941666666666667,0.7657500505447388,0.9449999928474426,0.94,0.5174999833106995,0.84
MTL0.5,0,"[0, 1, 1, 1]",False,512,0.5,align=0.82,wv_linear_sm_aligns,0.5299999713897705,0.9275000095367432,0.7200000000000001,0.7745833333333333,0.6170833333333333,0.7404166666666666,0.7632500529289246,0.9350000023841858,0.9525,0.5274999737739563,0.82
