,wandb_group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,align,name,filtered,embed_dim,lamda,wandb_project,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc
0,align=0.8,0,"[1, 0, 1, 1]",0.91,0.91,0.915,0.8,RESN,,,,,,,,,,,
1,align=0.8,1,"[1, 0, 1, 1]",0.7575,0.7575,0.7675,0.8,RESN,,,,,,,,,,,
2,align=0.8,2,"[1, 0, 1, 1]",0.6825,0.6825,0.6675,0.8,RESN,,,,,,,,,,,
3,align=0.83,0,"[0, 1, 1, 1]",0.8475,0.8475,0.8675,0.83,RESN,,,,,,,,,,,
4,align=0.83,1,"[0, 1, 1, 1]",0.7425,0.7425,0.6725,0.83,RESN,,,,,,,,,,,
5,align=0.83,2,"[0, 1, 1, 1]",0.6175,0.6175,0.81,0.83,RESN,,,,,,,,,,,
6,align=0.5,0,"[0, 0, 1, 1]",0.7275,0.7275,0.8125,0.5,RESN,,,,,,,,,,,
7,align=0.5,1,"[0, 0, 1, 1]",0.6275,0.6275,0.6475,0.5,RESN,,,,,,,,,,,
8,align=0.5,2,"[0, 0, 1, 1]",0.52,0.52,0.585,0.5,RESN,,,,,,,,,,,
9,align=0.92,0,"[1, 256, 256, 256]",0.85,0.85,0.8725,0.92,RESN,,,,,,,,,,,
10,align=0.92,1,"[1, 256, 256, 256]",0.7425,0.7425,0.6725,0.92,RESN,,,,,,,,,,,
11,align=0.92,2,"[1, 256, 256, 256]",0.6225,0.6225,0.81,0.92,RESN,,,,,,,,,,,
12,align=1,0,"[1, 1, 1, 1]",0.925,0.925,0.92,1.0,RESN,,,,,,,,,,,
13,align=1,1,"[1, 1, 1, 1]",0.7725,0.7725,0.765,1.0,RESN,,,,,,,,,,,
14,align=1,2,"[1, 1, 1, 1]",0.7125,0.7125,0.8125,1.0,RESN,,,,,,,,,,,
15,align=0.925,0,"[256, 1, 256, 256]",0.9125,0.9125,0.915,0.925,RESN,,,,,,,,,,,
16,align=0.925,1,"[256, 1, 256, 256]",0.7575,0.7575,0.7675,0.925,RESN,,,,,,,,,,,
17,align=0.925,2,"[256, 1, 256, 256]",0.685,0.685,0.67,0.925,RESN,,,,,,,,,,,
