group,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
noise=0.2,0.7675,0.7675,0.7225
noise=0.05,0.7675,0.7675,0.7225
noise=0.3,0.7675,0.7675,0.7225
noise=0.5,0.7675,0.7675,0.7225
noise=0.1,0.7675,0.7675,0.7225
noise=0.4,0.7675,0.7675,0.7225
