group,seed,weights,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
align=0.5,0,"[0, 0, 1, 1]",0.5150753768844221,0.5201005025125628,0.7989949748743719,0.6532663316582915,0.6582914572864321,0.6834170854271356,0.6206030150753769,0.6256281407035176,0.7261306532663316
align=0.5,1,"[0, 0, 1, 1]",0.6331658291457286,0.6331658291457286,0.6959798994974874,0.7211055276381909,0.7236180904522613,0.6432160804020101,0.6633165829145728,0.6608040201005025,0.678391959798995
align=0.5,2,"[0, 0, 1, 1]",0.6432160804020101,0.6407035175879398,0.5678391959798995,0.6683417085427136,0.6658291457286433,0.6331658291457286,0.7085427135678392,0.7060301507537688,0.6407035175879398
align=0.5,3,"[0, 0, 1, 1]",0.6331658291457286,0.635678391959799,0.5150753768844221,0.6256281407035176,0.6256281407035176,0.6331658291457286,0.5829145728643216,0.585427135678392,0.6457286432160804
align=0.8,0,"[64, 1, 64, 64]",0.7763819095477387,0.7763819095477387,0.8743718592964824,0.7839195979899497,0.7839195979899497,0.8668341708542714,0.8190954773869347,0.8165829145728644,0.9045226130653267
align=0.8,1,"[64, 1, 64, 64]",0.7336683417085427,0.7361809045226131,0.7939698492462312,0.8115577889447236,0.8190954773869347,0.8919597989949749,0.8291457286432161,0.8341708542713567,0.914572864321608
align=0.8,2,"[64, 1, 64, 64]",0.8140703517587939,0.8115577889447236,0.6633165829145728,0.8819095477386935,0.8819095477386935,0.7537688442211056,0.914572864321608,0.914572864321608,0.8140703517587939
align=0.8,3,"[64, 1, 64, 64]",0.7010050251256281,0.7035175879396985,0.7462311557788944,0.7864321608040201,0.7889447236180904,0.8894472361809045,0.8015075376884422,0.8015075376884422,0.8869346733668342
align=0.95,0,"[1, 1, 1, 1]",0.8768844221105527,0.8768844221105527,0.9422110552763819,0.9095477386934674,0.9120603015075377,0.9547738693467337,0.9321608040201005,0.9296482412060302,0.9773869346733668
align=0.95,1,"[1, 1, 1, 1]",0.871859296482412,0.8743718592964824,0.9170854271356784,0.9020100502512562,0.9095477386934674,0.9698492462311558,0.9020100502512562,0.907035175879397,0.9899497487437185
align=0.95,2,"[1, 1, 1, 1]",0.8768844221105527,0.8743718592964824,0.8517587939698492,0.9246231155778895,0.9246231155778895,0.9321608040201005,0.9422110552763819,0.9422110552763819,0.964824120603015
align=0.95,3,"[1, 1, 1, 1]",0.8291457286432161,0.8316582914572864,0.864321608040201,0.914572864321608,0.9170854271356784,0.9396984924623115,0.9120603015075377,0.9120603015075377,0.9472361809045227
align=0.63,0,"[1, 0, 1, 1]",0.7763819095477387,0.7763819095477387,0.871859296482412,0.7814070351758794,0.7814070351758794,0.864321608040201,0.7989949748743719,0.7964824120603015,0.8919597989949749
align=0.63,1,"[1, 0, 1, 1]",0.7311557788944724,0.7336683417085427,0.7914572864321608,0.8115577889447236,0.8190954773869347,0.8819095477386935,0.8190954773869347,0.8241206030150754,0.8994974874371859
align=0.63,2,"[1, 0, 1, 1]",0.8115577889447236,0.8090452261306532,0.6582914572864321,0.8819095477386935,0.8819095477386935,0.7487437185929648,0.9120603015075377,0.9120603015075377,0.7914572864321608
align=0.63,3,"[1, 0, 1, 1]",0.6959798994974874,0.6984924623115578,0.7437185929648241,0.7839195979899497,0.7864321608040201,0.8869346733668342,0.7889447236180904,0.7889447236180904,0.8844221105527639
align=0.7,0,"[0, 1, 1, 1]",0.7286432160804021,0.7286432160804021,0.8969849246231156,0.8567839195979899,0.8567839195979899,0.8668341708542714,0.8567839195979899,0.8567839195979899,0.8919597989949749
align=0.7,1,"[0, 1, 1, 1]",0.8467336683417085,0.8492462311557789,0.8567839195979899,0.864321608040201,0.871859296482412,0.8592964824120602,0.864321608040201,0.8693467336683417,0.9045226130653267
align=0.7,2,"[0, 1, 1, 1]",0.7537688442211056,0.7512562814070352,0.8090452261306532,0.7914572864321608,0.7889447236180904,0.9095477386934674,0.8190954773869347,0.8165829145728644,0.9447236180904522
align=0.7,3,"[0, 1, 1, 1]",0.7939698492462312,0.7939698492462312,0.7085427135678392,0.8844221105527639,0.8819095477386935,0.7814070351758794,0.8517587939698492,0.8517587939698492,0.8065326633165829
align=1,0,"[1, 1, 0, 0]",0.9824120603015075,0.9849246231155779,0.9974874371859297,0.9899497487437185,0.992462311557789,0.9974874371859297,0.9874371859296482,0.9849246231155779,1.0
align=1,1,"[1, 1, 0, 0]",0.9723618090452262,0.9773869346733668,0.9849246231155779,0.9849246231155779,0.9824120603015075,0.9949748743718593,0.9824120603015075,0.9824120603015075,0.9949748743718593
align=1,2,"[1, 1, 0, 0]",0.9698492462311558,0.9673366834170855,0.9849246231155779,0.9748743718592965,0.9748743718592965,0.9974874371859297,0.9748743718592965,0.9748743718592965,0.9974874371859297
align=1,3,"[1, 1, 0, 0]",0.9698492462311558,0.9748743718592965,0.9899497487437185,0.9748743718592965,0.9824120603015075,1.0,0.9798994974874372,0.9824120603015075,1.0
