group,seed,weights,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
align=0.5,0,"[0, 0, 1, 1]",0.6381909547738693,0.635678391959799,0.7185929648241206,0.7261306532663316,0.7236180904522613,0.7437185929648241,0.6005025125628141,0.5954773869346733,0.6482412060301508
align=0.5,1,"[0, 0, 1, 1]",0.5979899497487438,0.6005025125628141,0.5778894472361809,0.6834170854271356,0.6859296482412061,0.6432160804020101,0.6708542713567839,0.6683417085427136,0.628140703517588
align=0.5,2,"[0, 0, 1, 1]",0.592964824120603,0.5879396984924623,0.7512562814070352,0.5904522613065326,0.5904522613065326,0.6582914572864321,0.5904522613065326,0.585427135678392,0.6306532663316583
align=0.5,3,"[0, 0, 1, 1]",0.6331658291457286,0.6306532663316583,0.6708542713567839,0.6633165829145728,0.6582914572864321,0.6683417085427136,0.592964824120603,0.585427135678392,0.628140703517588
align=0.8,0,"[64, 1, 64, 64]",0.7437185929648241,0.7437185929648241,0.7914572864321608,0.8366834170854272,0.8291457286432161,0.8266331658291457,0.7763819095477387,0.7713567839195979,0.7889447236180904
align=0.8,1,"[64, 1, 64, 64]",0.6532663316582915,0.6532663316582915,0.7010050251256281,0.7864321608040201,0.7864321608040201,0.8316582914572864,0.8115577889447236,0.8090452261306532,0.864321608040201
align=0.8,2,"[64, 1, 64, 64]",0.7587939698492462,0.7512562814070352,0.8919597989949749,0.7713567839195979,0.7663316582914573,0.9170854271356784,0.8190954773869347,0.8115577889447236,0.9221105527638191
align=0.8,3,"[64, 1, 64, 64]",0.8190954773869347,0.8115577889447236,0.7487437185929648,0.871859296482412,0.8668341708542714,0.7814070351758794,0.8869346733668342,0.8793969849246231,0.7989949748743719
align=0.95,0,"[1, 1, 1, 1]",0.8618090452261307,0.8618090452261307,0.8693467336683417,0.9020100502512562,0.8969849246231156,0.9296482412060302,0.8919597989949749,0.8869346733668342,0.9321608040201005
align=0.95,1,"[1, 1, 1, 1]",0.8140703517587939,0.8140703517587939,0.8542713567839196,0.8994974874371859,0.8994974874371859,0.8919597989949749,0.9170854271356784,0.914572864321608,0.914572864321608
align=0.95,2,"[1, 1, 1, 1]",0.8241206030150754,0.8190954773869347,0.9020100502512562,0.871859296482412,0.8618090452261307,0.9296482412060302,0.9195979899497487,0.907035175879397,0.9422110552763819
align=0.95,3,"[1, 1, 1, 1]",0.8241206030150754,0.8190954773869347,0.8567839195979899,0.9020100502512562,0.8969849246231156,0.8743718592964824,0.914572864321608,0.907035175879397,0.907035175879397
align=0.63,0,"[1, 0, 1, 1]",0.7412060301507538,0.7412060301507538,0.7864321608040201,0.8241206030150754,0.8165829145728644,0.8241206030150754,0.7638190954773869,0.7587939698492462,0.7814070351758794
align=0.63,1,"[1, 0, 1, 1]",0.6507537688442211,0.6507537688442211,0.6934673366834171,0.7839195979899497,0.7839195979899497,0.8266331658291457,0.7989949748743719,0.7964824120603015,0.8592964824120602
align=0.63,2,"[1, 0, 1, 1]",0.7587939698492462,0.7512562814070352,0.8919597989949749,0.7663316582914573,0.7613065326633166,0.9170854271356784,0.8165829145728644,0.8090452261306532,0.9221105527638191
align=0.63,3,"[1, 0, 1, 1]",0.8190954773869347,0.8115577889447236,0.7512562814070352,0.8693467336683417,0.864321608040201,0.7738693467336684,0.8819095477386935,0.8743718592964824,0.7839195979899497
align=0.7,0,"[0, 1, 1, 1]",0.8165829145728644,0.8165829145728644,0.8241206030150754,0.8266331658291457,0.8190954773869347,0.8869346733668342,0.7638190954773869,0.7587939698492462,0.8517587939698492
align=0.7,1,"[0, 1, 1, 1]",0.7989949748743719,0.7989949748743719,0.7788944723618091,0.8165829145728644,0.8165829145728644,0.7663316582914573,0.8241206030150754,0.8190954773869347,0.7638190954773869
align=0.7,2,"[0, 1, 1, 1]",0.7010050251256281,0.6959798994974874,0.7839195979899497,0.7587939698492462,0.7562814070351759,0.7512562814070352,0.8090452261306532,0.7989949748743719,0.7512562814070352
align=0.7,3,"[0, 1, 1, 1]",0.7010050251256281,0.6934673366834171,0.8115577889447236,0.7663316582914573,0.7638190954773869,0.8040201005025126,0.7286432160804021,0.7211055276381909,0.8140703517587939
align=1,0,"[1, 1, 0, 0]",0.957286432160804,0.9547738693467337,0.9396984924623115,0.9346733668341709,0.9371859296482412,0.9773869346733668,0.9447236180904522,0.9447236180904522,0.9723618090452262
align=1,1,"[1, 1, 0, 0]",0.9673366834170855,0.9673366834170855,0.9798994974874372,0.9597989949748744,0.957286432160804,0.9824120603015075,0.9748743718592965,0.9698492462311558,0.9798994974874372
align=1,2,"[1, 1, 0, 0]",0.9673366834170855,0.957286432160804,0.9698492462311558,0.9748743718592965,0.9623115577889447,0.9849246231155779,0.9798994974874372,0.9673366834170855,0.9874371859296482
align=1,3,"[1, 1, 0, 0]",0.9396984924623115,0.9346733668341709,0.9522613065326633,0.9623115577889447,0.957286432160804,0.9673366834170855,0.9597989949748744,0.9547738693467337,0.9698492462311558
