align,test_triplet_acc,test_1nn_acc,decision_support
0.0,0.4687999784946441,0.9838709677419356,0.1129032258064516
0.1,0.615399956703186,0.9838709677419356,0.0806451612903225
0.2,0.5512999892234802,0.9838709677419356,0.1129032258064516
0.30000000000000004,0.5852999687194824,0.9838709677419356,0.1290322580645161
0.4,0.6276999711990356,0.9838709677419356,0.1129032258064516
0.5,0.4493999779224396,0.9838709677419356,0.6612903225806451
0.6000000000000001,0.4727999866008758,0.9838709677419356,0.8387096774193549
0.7000000000000001,0.5414000153541565,0.9838709677419356,0.1451612903225806
0.8,0.5245999693870544,0.9838709677419356,0.4677419354838709
0.9,0.4781000018119812,0.9838709677419356,0.4032258064516129
1.0,0.5598999857902527,0.9838709677419356,0.3870967741935484
