align,test_triplet_acc,test_1nn_acc,decision_support
0.0,0.6410999894142151,0.9838709677419356,0.1774193548387097
0.1,0.4515999853610992,0.9838709677419356,0.0161290322580645
0.2,0.6875,0.9838709677419356,0.0483870967741935
0.30000000000000004,0.5253999829292297,0.9838709677419356,0.0483870967741935
0.4,0.6951999664306641,0.967741935483871,0.0161290322580645
0.5,0.6211000084877014,0.9838709677419356,0.5967741935483871
0.6000000000000001,0.6270999908447266,0.967741935483871,0.8709677419354839
0.7000000000000001,0.4849999845027923,0.967741935483871,0.2096774193548387
0.8,0.7356999516487122,0.967741935483871,0.6290322580645161
0.9,0.6281999945640564,0.9838709677419356,0.3709677419354839
1.0,0.6096000075340271,0.9838709677419356,0.4354838709677419
