align,test_triplet_acc,test_1nn_acc,decision_support
0.0,0.4903999865055084,0.9838709677419356,0.3225806451612903
0.1,0.6492999792098999,0.9838709677419356,0.1774193548387097
0.2,0.5830000042915344,0.9838709677419356,0.0806451612903225
0.30000000000000004,0.6293999552726746,0.9838709677419356,0.1935483870967742
0.4,0.6244999766349792,0.9838709677419356,0.3064516129032258
0.5,0.4409999847412109,0.9838709677419356,0.5483870967741935
0.6000000000000001,0.4794999957084656,0.9838709677419356,0.9516129032258064
0.7000000000000001,0.5669999718666077,0.9838709677419356,0.3064516129032258
0.8,0.5583999752998352,0.9838709677419356,0.5967741935483871
0.9,0.4718999862670898,0.9838709677419356,0.3387096774193548
1.0,0.5787999629974365,0.9838709677419356,0.4516129032258064
