,name,model,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
153,MTL0.8,MTL,2,"[0, 1, 0, 0]",False,512,0.8,align=0.62_p=0.8,wv_3d_linear_noisy,0.9020100235939026,0.876884400844574,0.5134003350083752,0.3061139028475712,0.4894999861717224,0.9924623370170592,0.9899497487437184,0.9045225977897644,0.62,0.8
156,MTL0.5,MTL,2,"[0, 1, 0, 0]",False,512,0.5,align=0.62_p=0.8,wv_3d_linear_noisy,0.909547746181488,0.8969849348068237,0.4342546063651591,0.34882747068676717,0.4941666722297669,0.9899497628211976,0.9874371859296482,0.91206032037735,0.62,0.8
160,MTL0.2,MTL,2,"[0, 1, 0, 0]",False,512,0.2,align=0.62_p=0.8,wv_3d_linear_noisy,0.9346733689308168,0.8090452551841736,0.3915410385259632,0.30150753768844224,0.515999972820282,0.9070351719856262,0.9623115577889448,0.9371859431266784,0.62,0.8
161,TN,TN,2,"[0, 1, 0, 0]",False,512,0.0,align=0.62_p=0.8,wv_3d_linear_noisy,0.8919597864151001,0.8542713522911072,0.4296482412060301,0.41541038525963153,0.5288333296775818,0.4974874258041382,0.9095477386934674,0.8919597864151001,0.62,0.8
176,MTL0.8,MTL,2,"[0, 1, 0, 0]",True,512,0.8,align=0.62_p=0.8,wv_3d_linear_noisy,0.8417085409164429,0.8994975090026855,0.435929648241206,0.5900335008375209,0.672783613204956,0.9899497628211976,0.9899497487437184,0.8417085409164429,0.62,0.8
180,MTL0.5,MTL,2,"[0, 1, 0, 0]",False,512,0.5,align=0.62_p=0.7,wv_3d_linear_noisy,0.8994975090026855,0.8793969750404358,0.4690117252931323,0.38819095477386933,0.49666666984558105,0.9924623370170592,0.992462311557789,0.8994975090026855,0.62,0.7
182,TN,TN,2,"[0, 1, 0, 0]",True,512,0.0,align=0.62_p=0.8,wv_3d_linear_noisy,0.9221105575561525,0.9170854091644288,0.5104690117252931,0.29564489112227804,0.6692087650299072,0.49246230721473694,0.9874371859296482,0.9221105575561525,0.62,0.8
183,MTL0.5,MTL,2,"[0, 1, 0, 0]",True,512,0.5,align=0.62_p=0.8,wv_3d_linear_noisy,0.8869346976280212,0.9045225977897644,0.49036850921273034,0.6507537688442211,0.6763584613800049,0.9949748516082764,0.9949748743718592,0.8869346976280212,0.62,0.8
184,MTL0.8,MTL,1,"[0, 1, 0, 0]",False,512,0.8,align=0.62_p=0.8,wv_3d_linear_noisy,0.9145728349685668,0.876884400844574,0.5033500837520938,0.32914572864321606,0.4901666641235352,0.9874371886253356,0.9899497487437184,0.91206032037735,0.62,0.8
191,TN,TN,1,"[0, 1, 0, 0]",False,512,0.0,align=0.62_p=0.8,wv_3d_linear_noisy,0.8894472122192383,0.8693467378616333,0.3840033500837521,0.407035175879397,0.5180000066757202,0.5025125741958618,0.8919597989949749,0.8894472122192383,0.62,0.8
192,MTL0.5,MTL,1,"[0, 1, 0, 0]",False,512,0.5,align=0.62_p=0.8,wv_3d_linear_noisy,0.947236180305481,0.9020100235939026,0.5326633165829145,0.28643216080402006,0.5044999718666077,0.9899497628211976,0.992462311557789,0.947236180305481,0.62,0.8
194,MTL0.2,MTL,1,"[0, 1, 0, 0]",False,512,0.2,align=0.62_p=0.8,wv_3d_linear_noisy,0.9321607947349548,0.8944723606109619,0.5004187604690117,0.32747068676716923,0.5276666879653931,0.8994975090026855,0.9723618090452262,0.9371859431266784,0.62,0.8
199,MTL0.8,MTL,2,"[0, 1, 0, 0]",False,512,0.8,align=0.62_p=0.7,wv_3d_linear_noisy,0.8994975090026855,0.9070351719856262,0.5108877721943048,0.35678391959799,0.4846666753292084,0.9899497628211976,0.9899497487437184,0.8994975090026855,0.62,0.7
201,TN,TN,2,"[0, 1, 0, 0]",False,512,0.0,align=0.62_p=0.7,wv_3d_linear_noisy,0.8869346976280212,0.7763819098472595,0.3680904522613065,0.3513400335008375,0.5096666812896729,0.4974874258041382,0.9020100502512562,0.8869346976280212,0.62,0.7
