wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_d=512,align=0.83_filtered,TN,0,"[0, 1, 1, 1]",512,0.0,0.325,0.97553647,0.9975,0.93975,0.919,0.9125,0.915,1.0,0.87,0.8725,1.0,0.8575,0.86,1.0
wv_3d_d=512,align=0.83_filtered,MTL0.8,0,"[0, 1, 1, 1]",512,0.8,0.9975,0.95751077,0.9975,0.9285,0.8945000000000001,0.94,0.9425,1.0,0.9325,0.935,1.0,0.9275,0.93,1.0
wv_3d_d=512,align=0.83_filtered,TN,1,"[0, 1, 1, 1]",512,0.0,0.38,0.9613734,0.9975,0.94225,0.924,0.9025,0.9,1.0,0.895,0.895,1.0,0.8975,0.8975,1.0
wv_3d_d=512,align=0.83_filtered,MTL0.5,1,"[0, 1, 1, 1]",512,0.5,0.995,0.97381973,0.995,0.93025,0.9,0.95,0.95,1.0,0.88,0.88,1.0,0.89,0.89,1.0
wv_3d_d=512,align=0.83_filtered,MTL0.2,1,"[0, 1, 1, 1]",512,0.2,0.995,0.973176,0.995,0.92875,0.90325,0.91,0.91,1.0,0.875,0.875,1.0,0.8575,0.8575,1.0
wv_3d_d=512,align=0.83_filtered,MTL0.8,1,"[0, 1, 1, 1]",512,0.8,0.9975,0.97167385,0.995,0.93075,0.90325,0.9475,0.9475,1.0,0.915,0.915,1.0,0.885,0.8875,1.0
wv_3d_d=512,align=0.83_filtered,TN,2,"[0, 1, 1, 1]",512,0.0,0.4075,0.9753219,0.9975,0.9365,0.908,0.9325,0.9325,1.0,0.8825,0.885,1.0,0.875,0.8775,1.0
wv_3d_d=512,align=0.83_filtered,MTL0.2,2,"[0, 1, 1, 1]",512,0.2,0.995,0.96866953,0.995,0.9302499999999998,0.9005000000000001,0.9425,0.945,1.0,0.915,0.9175,1.0,0.885,0.8875,1.0
wv_3d_d=512,align=0.83_filtered,MTL0.5,2,"[0, 1, 1, 1]",512,0.5,0.995,0.9759657,0.995,0.94225,0.91175,0.8825,0.885,1.0,0.88,0.8825,1.0,0.8725,0.875,1.0
wv_3d_d=512,align=0.83_filtered,MTL0.8,2,"[0, 1, 1, 1]",512,0.8,0.9975,0.96909875,0.995,0.934,0.9025,0.9175,0.9225,1.0,0.8975,0.9,1.0,0.88,0.8825,1.0
