wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_noisy,align=0.925_p=0.6,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.66487217,0.995,0.43425,0.43425,0.8075,0.805,0.67,0.8775,0.8775,0.8675,0.94,0.94,0.915
wv_3d_noisy,align=0.925_p=0.7,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.6653881,0.9975,0.37725,0.37725,0.775,0.7725,0.6975,0.9075,0.9075,0.865,0.9525,0.9525,0.9125
wv_3d_noisy,align=0.925_p=0.7,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.65771663,0.995,0.408,0.408,0.7,0.7,0.775,0.8325,0.8325,0.9175,0.91,0.91,0.935
wv_3d_noisy,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.7581283,0.995,0.7224999999999999,0.4585,0.8,0.93,0.9075,0.91,0.91,1.0,0.92,0.92,1.0
wv_3d_noisy,align=0.925_p=0.5,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.7401143,0.995,0.72075,0.5405,0.9775,0.9625,0.975,0.9475,0.945,0.9925,0.9625,0.96,0.9925
wv_3d_noisy,align=0.925_p=0.3,TN,1,"[256, 1, 256, 256]",512,0.0,0.46,0.7598858,0.995,0.69125,0.69125,0.9625,0.9625,1.0,0.9325,0.935,1.0,0.94,0.9425,1.0
wv_3d_noisy,align=0.925_p=0.3,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9925,0.7636204,0.995,0.666,0.666,0.9375,0.9375,1.0,0.955,0.9575,1.0,0.96,0.96,1.0
wv_3d_noisy,align=0.925_p=0.5,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.6719518,0.9975,0.4357499999999999,0.4357499999999999,0.8375,0.8375,0.8825,0.9625,0.96,0.97,0.975,0.9725,0.98
wv_3d_noisy,align=0.925_p=0.5,TN,1,"[256, 1, 256, 256]",512,0.0,0.46,0.6788745,0.9975,0.4715,0.4715,0.86,0.8575,0.925,0.905,0.9025,0.9775,0.9175,0.9175,0.9875
wv_3d_noisy,align=0.925_p=0.6,TN,1,"[256, 1, 256, 256]",512,0.0,0.46,0.65231043,0.995,0.42725,0.42725,0.705,0.7075,0.735,0.86,0.86,0.8925,0.8775,0.8775,0.9375
