name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.9049999713897704,0.9975000023841858,0.7125,0.5395833333333333,0.7095833333333333,0.605,0.9207317233085632,1.0,0.9049999713897704,0.9,0.03125,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.875,1.0,0.7016666666666667,0.665,0.6924999999999999,0.7004166666666666,0.9425287246704102,1.0,0.875,0.9,0.015625,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.8550000190734863,0.5699999928474426,0.5391666666666667,0.8466666666666667,0.5320833333333334,0.8966666666666668,0.9195402264595032,1.0,0.6299999952316284,0.9,0.015625,0
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.9225000143051147,1.0,0.7133333333333334,0.5525,0.6883333333333334,0.6,0.9425287246704102,1.0,0.9225000143051147,0.9,0.015625,0
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.9024999737739564,0.9975000023841858,0.6616666666666667,0.5525,0.6262500000000001,0.6,0.9425287246704102,1.0,0.9024999737739564,0.9,0.015625,0
TN,1,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.8475000262260437,0.6175000071525574,0.5308333333333334,0.85125,0.49833333333333335,0.8604166666666666,0.931818187236786,0.9975,0.5550000071525574,0.9,0.0078125,0
MTL0.2,1,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.9375,1.0,0.7075,0.5558333333333333,0.6895833333333333,0.6016666666666667,0.931818187236786,1.0,0.9375,0.9,0.0078125,0
MTL0.5,1,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.9375,1.0,0.6995833333333333,0.5525,0.6804166666666666,0.6,0.9090909361839294,1.0,0.9375,0.9,0.0078125,0
MTL0.8,1,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.925000011920929,1.0,0.6695833333333333,0.5525,0.645,0.6,0.931818187236786,1.0,0.925000011920929,0.9,0.0078125,0
TN,0,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.5_filtered,wv_3d_linear0_num,0.8075000047683716,0.3100000023841858,0.6695833333333333,0.9633333333333334,0.6504166666666668,0.9766666666666666,0.9740496873855592,1.0,0.2824999988079071,0.9,0.5,0
MTL0.2,0,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.5_filtered,wv_3d_linear0_num,0.8899999856948853,1.0,0.8649999999999999,0.8854166666666666,0.8770833333333333,0.9175,0.9788011908531188,0.9975,0.8924999833106995,0.9,0.5,0
MTL0.8,0,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.5_filtered,wv_3d_linear0_num,0.862500011920929,1.0,0.8450000000000001,0.9195833333333332,0.8458333333333333,0.9445833333333334,0.9700292348861694,1.0,0.862500011920929,0.9,0.5,0
MTL0.5,0,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.5_filtered,wv_3d_linear0_num,0.8475000262260437,1.0,0.86,0.9295833333333334,0.8537500000000001,0.9425,0.9718567132949828,1.0,0.8475000262260437,0.9,0.5,0
TN,0,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.25_filtered,wv_3d_linear0_num,0.8274999856948853,0.5274999737739563,0.6224999999999999,0.92125,0.5979166666666665,0.9425,0.9772226214408876,1.0,0.5049999952316284,0.9,0.25,0
MTL0.8,0,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.25_filtered,wv_3d_linear0_num,0.8849999904632568,1.0,0.8283333333333335,0.7075,0.80375,0.8025000000000001,0.9676708579063416,1.0,0.8849999904632568,0.9,0.25,0
MTL0.2,0,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.25_filtered,wv_3d_linear0_num,0.8075000047683716,0.9950000047683716,0.8395833333333332,0.9341666666666668,0.83625,0.9479166666666666,0.9684056043624878,1.0,0.8050000071525574,0.9,0.25,0
MTL0.5,0,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.25_filtered,wv_3d_linear0_num,0.8899999856948853,1.0,0.8329166666666666,0.7625000000000001,0.82,0.8408333333333333,0.9713445901870728,1.0,0.8899999856948853,0.9,0.25,0
MTL0.5,0,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.125_filtered,wv_3d_linear0_num,0.8974999785423279,1.0,0.8112499999999999,0.7479166666666667,0.8154166666666667,0.8125,0.9532163739204408,1.0,0.8974999785423279,0.9,0.125,0
MTL0.2,0,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.125_filtered,wv_3d_linear0_num,0.8374999761581421,0.9975000023841858,0.8004166666666667,0.8145833333333333,0.7966666666666667,0.8754166666666666,0.9590643048286438,1.0,0.8349999785423279,0.9,0.125,0
TN,0,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.125_filtered,wv_3d_linear0_num,0.8424999713897705,0.42250001430511475,0.585,0.9241666666666668,0.5658333333333334,0.9425,0.9561403393745422,1.0,0.4650000035762787,0.9,0.125,0
MTL0.8,0,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.125_filtered,wv_3d_linear0_num,0.8974999785423279,1.0,0.7808333333333333,0.7845833333333333,0.7675000000000001,0.7954166666666667,0.9459064602851868,1.0,0.8974999785423279,0.9,0.125,0
MTL0.2,0,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.0625_filtered,wv_3d_linear0_num,0.8199999928474426,0.9975000023841858,0.7783333333333333,0.8645833333333334,0.7704166666666667,0.8929166666666667,0.9563953280448914,1.0,0.8174999952316284,0.9,0.0625,0
TN,0,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.0625_filtered,wv_3d_linear0_num,0.737500011920929,0.4149999916553498,0.6454166666666666,0.9416666666666664,0.6283333333333333,0.955,0.9563953280448914,1.0,0.3650000095367432,0.9,0.0625,0
MTL0.8,0,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.0625_filtered,wv_3d_linear0_num,0.8899999856948853,1.0,0.74625,0.5879166666666668,0.7316666666666668,0.6875,0.9273256063461304,1.0,0.8899999856948853,0.9,0.0625,0
MTL0.5,0,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.0625_filtered,wv_3d_linear0_num,0.8125,1.0,0.7783333333333333,0.8416666666666667,0.7675000000000001,0.89125,0.9505813717842102,1.0,0.8125,0.9,0.0625,0
MTL0.2,0,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.8550000190734863,0.987500011920929,0.75625,0.7999999999999999,0.73375,0.8358333333333333,0.9634146094322203,1.0,0.8550000190734863,0.9,0.03125,0
TN,0,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.8349999785423279,0.4950000047683716,0.565,0.90875,0.5620833333333334,0.9345833333333332,0.9695122241973876,1.0,0.5699999928474426,0.9,0.03125,0
