name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
MTL0.5,2,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.5,wv_3d_linear0_num,0.8525000214576721,1.0,0.8854166666666666,0.94625,0.8925000000000001,0.9645833333333332,0.9636666774749756,1.0,0.8525000214576721,0.9,0.5,0
TN,2,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.5,wv_3d_linear0_num,0.7475000023841858,0.23499999940395355,0.7566666666666667,0.96375,0.7429166666666666,0.9816666666666666,0.9700000286102296,0.9575,0.5674999952316284,0.9,0.5,0
MTL0.8,2,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.5,wv_3d_linear0_num,0.7799999713897705,1.0,0.8779166666666667,0.9608333333333332,0.8975,0.9779166666666668,0.9639999866485596,1.0,0.7799999713897705,0.9,0.5,0
MTL0.2,2,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.5,wv_3d_linear0_num,0.7749999761581421,1.0,0.8895833333333334,0.9629166666666666,0.8783333333333333,0.98,0.9763333201408386,1.0,0.7749999761581421,0.9,0.5,0
TN,2,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.25,wv_3d_linear0_num,0.8475000262260437,0.7174999713897705,0.7979166666666666,0.9604166666666668,0.8020833333333334,0.9775,0.95933336019516,0.99,0.7549999952316284,0.9,0.25,0
MTL0.5,1,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.5,wv_3d_linear0_num,0.7699999809265137,1.0,0.8729166666666667,0.9566666666666668,0.8766666666666666,0.9704166666666666,0.9700000286102296,1.0,0.7699999809265137,0.9,0.5,0
TN,1,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.5,wv_3d_linear0_num,0.7524999976158142,0.6650000214576721,0.8091666666666667,0.9770833333333332,0.8020833333333334,0.9854166666666666,0.9723333120346068,0.98,0.6000000238418579,0.9,0.5,0
MTL0.8,1,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.5,wv_3d_linear0_num,0.7350000143051147,1.0,0.8633333333333333,0.9591666666666666,0.86,0.9779166666666668,0.9673333168029784,1.0,0.7350000143051147,0.9,0.5,0
MTL0.2,1,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.5,wv_3d_linear0_num,0.7925000190734863,0.9975000023841858,0.8616666666666667,0.9608333333333334,0.8695833333333333,0.9766666666666668,0.9616666436195374,0.9975,0.7925000190734863,0.9,0.5,0
TN,1,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.25,wv_3d_linear0_num,0.7975000143051147,0.6650000214576721,0.7516666666666666,0.9570833333333332,0.7474999999999999,0.9704166666666666,0.9700000286102296,0.97,0.6700000166893005,0.9,0.25,0
MTL0.5,2,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.25,wv_3d_linear0_num,0.7749999761581421,0.9975000023841858,0.8450000000000001,0.95375,0.82125,0.96625,0.9633333086967468,0.9975,0.7749999761581421,0.9,0.25,0
MTL0.2,2,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.25,wv_3d_linear0_num,0.7799999713897705,1.0,0.8541666666666666,0.9533333333333333,0.84125,0.97,0.9586666822433472,0.9975,0.7799999713897705,0.9,0.25,0
TN,2,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.125,wv_3d_linear0_num,0.8274999856948853,0.38999998569488525,0.7120833333333333,0.94875,0.6958333333333333,0.9704166666666666,0.9626666903495787,0.99,0.6175000071525574,0.9,0.125,0
MTL0.8,2,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.25,wv_3d_linear0_num,0.7574999928474426,1.0,0.8337500000000001,0.9520833333333334,0.8204166666666667,0.9679166666666666,0.9660000205039978,0.9975,0.7549999952316284,0.9,0.25,0
TN,0,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.5,wv_3d_linear0_num,0.7275000214576721,0.5149999856948853,0.7666666666666666,0.97125,0.7595833333333334,0.9866666666666668,0.9743333458900452,0.9775,0.5774999856948853,0.9,0.5,0
MTL0.5,0,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.5,wv_3d_linear0_num,0.7074999809265137,1.0,0.8645833333333334,0.9679166666666666,0.8495833333333334,0.9795833333333334,0.968666672706604,0.9975,0.7074999809265137,0.9,0.5,0
MTL0.8,0,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.5,wv_3d_linear0_num,0.6949999928474426,1.0,0.8562500000000001,0.9591666666666666,0.8566666666666666,0.9754166666666668,0.9573333263397216,0.9975,0.6949999928474426,0.9,0.5,0
MTL0.2,0,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.5,wv_3d_linear0_num,0.7425000071525574,0.9975000023841858,0.8745833333333333,0.9620833333333332,0.8875000000000001,0.9779166666666668,0.9706666469573976,0.9975,0.7425000071525574,0.9,0.5,0
TN,0,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.25,wv_3d_linear0_num,0.7350000143051147,0.5149999856948853,0.7470833333333333,0.9591666666666668,0.7275,0.9745833333333334,0.95333331823349,0.985,0.574999988079071,0.9,0.25,0
MTL0.5,1,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.25,wv_3d_linear0_num,0.8274999856948853,0.9975000023841858,0.8716666666666667,0.9454166666666666,0.86625,0.9645833333333332,0.9700000286102296,1.0,0.8274999856948853,0.9,0.25,0
MTL0.2,1,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.25,wv_3d_linear0_num,0.7950000166893005,1.0,0.8683333333333333,0.9541666666666666,0.8591666666666667,0.9695833333333334,0.9679999947547911,1.0,0.7950000166893005,0.9,0.25,0
MTL0.8,1,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.25,wv_3d_linear0_num,0.8324999809265137,1.0,0.8666666666666667,0.9479166666666666,0.8691666666666666,0.9633333333333334,0.9580000042915344,1.0,0.8324999809265137,0.9,0.25,0
TN,1,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.125,wv_3d_linear0_num,0.7649999856948853,0.8550000190734863,0.8154166666666667,0.9570833333333332,0.7983333333333333,0.9758333333333334,0.946666657924652,0.9925,0.7250000238418579,0.9,0.125,0
MTL0.8,0,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.25,wv_3d_linear0_num,0.7724999785423279,1.0,0.8466666666666667,0.9445833333333334,0.8504166666666667,0.9625,0.9566666483879088,1.0,0.7724999785423279,0.9,0.25,0
MTL0.5,0,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.25,wv_3d_linear0_num,0.7875000238418579,1.0,0.8608333333333333,0.9391666666666666,0.8604166666666666,0.9529166666666664,0.9660000205039978,1.0,0.7875000238418579,0.9,0.25,0
MTL0.2,0,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.25,wv_3d_linear0_num,0.7799999713897705,1.0,0.8566666666666666,0.9545833333333332,0.8516666666666667,0.9704166666666666,0.9653333425521852,0.9975,0.7799999713897705,0.9,0.25,0
MTL0.5,2,"[1, 1000000, 1, 1]",False,50,0.5,align=0.9_p=0.125,wv_3d_linear0_num,0.7799999713897705,1.0,0.8270833333333334,0.9483333333333333,0.8304166666666667,0.96375,0.9480000138282776,1.0,0.7799999713897705,0.9,0.125,0
TN,0,"[1, 1000000, 1, 1]",False,50,0.0,align=0.9_p=0.125,wv_3d_linear0_num,0.7300000190734863,0.5149999856948853,0.7208333333333333,0.9533333333333336,0.6879166666666667,0.9683333333333334,0.95333331823349,0.9875,0.5924999713897705,0.9,0.125,0
MTL0.8,2,"[1, 1000000, 1, 1]",False,50,0.8,align=0.9_p=0.125,wv_3d_linear0_num,0.7450000047683716,1.0,0.8016666666666666,0.9383333333333336,0.7991666666666667,0.9641666666666668,0.944000005722046,1.0,0.7450000047683716,0.9,0.125,0
MTL0.2,2,"[1, 1000000, 1, 1]",False,50,0.2,align=0.9_p=0.0625,wv_3d_linear0_num,0.7749999761581421,0.987500011920929,0.8016666666666667,0.9495833333333332,0.7937500000000001,0.9633333333333332,0.944000005722046,1.0,0.7749999761581421,0.9,0.0625,0
