name,seed,weights,filter,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.5,2,"[32, 128, 1, 1]",True,50,0.5,align=0.94,wv_linear_sm_aligns,0.7649999856948853,0.9325000047683716,0.82375,0.93375,0.67875,0.8929166666666667,0.9654284119606018,0.9325000047683716,0.9525,0.7549999952316284,0.94
MTL0.5,2,"[1, 1, 1, 1]",True,50,0.5,align=0.92,wv_linear_sm_aligns,0.5475000143051147,0.9350000023841858,0.68125,0.7425,0.5733333333333334,0.6954166666666667,0.8341448307037354,0.9375,0.9375,0.5475000143051147,0.92
MTL0.5,2,"[1, 0, 1, 1]",True,50,0.5,align=0.84,wv_linear_sm_aligns,0.5550000071525574,0.9399999976158142,0.6862499999999999,0.6695833333333333,0.5970833333333333,0.69125,0.8274999856948853,0.9449999928474426,0.9525,0.5550000071525574,0.84
MTL0.5,2,"[0, 1, 1, 1]",True,50,0.5,align=0.82,wv_linear_sm_aligns,0.6000000238418579,0.9300000071525574,0.6991666666666667,0.7000000000000001,0.59375,0.6666666666666666,0.8201220035552979,0.9424999952316284,0.945,0.5975000262260437,0.82
MTL0.5,1,"[1, 0, 1, 1]",True,50,0.5,align=0.84,wv_linear_sm_aligns,0.5325000286102295,0.9375,0.6841666666666667,0.72125,0.5991666666666667,0.7166666666666668,0.8217187523841858,0.9424999952316284,0.92,0.5350000262260437,0.84
MTL0.5,2,"[0, 32, 1, 1]",True,50,0.5,align=0.77,wv_linear_sm_aligns,0.6775000095367432,0.9424999952316284,0.8104166666666668,0.9145833333333332,0.725,0.8720833333333333,0.9469491839408876,0.9424999952316284,0.945,0.675000011920929,0.77
MTL0.5,1,"[1, 1, 1, 1]",True,50,0.5,align=0.92,wv_linear_sm_aligns,0.5575000047683716,0.9350000023841858,0.6854166666666667,0.7395833333333334,0.59125,0.6991666666666667,0.8455568552017212,0.9449999928474426,0.9425,0.5600000023841858,0.92
MTL0.5,1,"[32, 128, 1, 1]",True,50,0.5,align=0.94,wv_linear_sm_aligns,0.7275000214576721,0.9424999952316284,0.8312499999999999,0.9358333333333334,0.6862500000000001,0.8966666666666666,0.9612256288528442,0.9424999952316284,0.9475,0.7174999713897705,0.94
MTL0.5,1,"[0, 1, 1, 1]",True,50,0.5,align=0.82,wv_linear_sm_aligns,0.5724999904632568,0.9474999904632568,0.6879166666666666,0.6966666666666667,0.5854166666666667,0.6579166666666666,0.8257381319999695,0.949999988079071,0.95,0.5699999928474426,0.82
MTL0.5,0,"[0, 32, 1, 1]",True,50,0.5,align=0.77,wv_linear_sm_aligns,0.6324999928474426,0.9424999952316284,0.80125,0.8991666666666666,0.71125,0.835,0.9387000203132628,0.9424999952316284,0.94,0.6299999952316284,0.77
MTL0.5,0,"[1, 1, 1, 1]",True,50,0.5,align=0.92,wv_linear_sm_aligns,0.5799999833106995,0.9424999952316284,0.67875,0.6916666666666668,0.5837500000000001,0.6491666666666666,0.8364272117614746,0.9449999928474426,0.945,0.5799999833106995,0.92
MTL0.5,1,"[0, 32, 1, 1]",True,50,0.5,align=0.77,wv_linear_sm_aligns,0.6225000023841858,0.9449999928474426,0.8041666666666666,0.9154166666666668,0.6895833333333333,0.8475,0.93912672996521,0.9449999928474426,0.9375,0.625,0.77
MTL0.5,0,"[0, 1, 1, 1]",True,50,0.5,align=0.82,wv_linear_sm_aligns,0.5475000143051147,0.925000011920929,0.6854166666666667,0.7654166666666665,0.5954166666666666,0.7058333333333334,0.821566104888916,0.9424999952316284,0.95,0.5425000190734863,0.82
MTL0.5,0,"[32, 128, 1, 1]",True,50,0.5,align=0.94,wv_linear_sm_aligns,0.7774999737739563,0.9549999833106996,0.84125,0.9341666666666668,0.6904166666666667,0.8908333333333335,0.9684110879898072,0.9549999833106996,0.9375,0.7749999761581421,0.94
MTL0.5,0,"[1, 0, 1, 1]",True,50,0.5,align=0.84,wv_linear_sm_aligns,0.5299999713897705,0.9350000023841858,0.6445833333333333,0.6525,0.5558333333333333,0.6879166666666666,0.8256250023841858,0.9524999856948853,0.9525,0.5299999713897705,0.84
