agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,NI_acc,NO_acc,FO_acc
MTL0s3,MTL1s1,MTL1,1,0.949999988079071,0.925,0.5649999976158142,0.775,0.6,0.2875,0.95,0.875
MTL0s3,MTL1s2,MTL1,2,0.975000023841858,0.975,0.6100000143051147,0.475,0.75,0.325,1.0,0.525
MTL0s3,MTL1s3,MTL1,3,0.949999988079071,0.95,0.5774999856948853,0.65,0.3,0.225,0.7,0.925
MTL0s3,MTL1s4,MTL1,4,0.975000023841858,0.975,0.5999999642372131,0.775,0.875,0.3625,0.7375,0.675
MTL0s4,MTL0s0,MTL0,0,0.675000011920929,0.95,0.7587499618530273,0.825,1.0,0.5375,1.0,0.125
MTL0s4,MTL0s1,MTL0,1,0.4749999940395355,0.9,0.7299999594688416,0.9,1.0,0.575,0.975,0.0
MTL0s4,MTL0s2,MTL0,2,0.550000011920929,0.95,0.7137500047683716,0.9,1.0,0.5,1.0,0.175
MTL0s4,MTL0s3,MTL0,3,0.5,0.9,0.7212499976158142,0.825,1.0,0.525,1.0,0.225
MTL0s4,MTL0s4,MTL0,4,0.675000011920929,0.85,0.7249999642372131,0.85,1.0,0.9125,1.0,0.0
MTL0s4,MTL0.2s0,MTL0.2,0,0.949999988079071,0.95,0.7475000023841858,0.9,1.0,0.4625,0.975,0.2875
MTL0s4,MTL0.2s1,MTL0.2,1,0.949999988079071,0.9,0.75,0.825,1.0,0.575,1.0,0.15
MTL0s4,MTL0.2s2,MTL0.2,2,0.949999988079071,0.925,0.7274999618530273,0.825,1.0,0.55,1.0,0.075
MTL0s4,MTL0.2s3,MTL0.2,3,0.949999988079071,0.9,0.7450000047683716,0.825,1.0,0.65,1.0,0.05
MTL0s4,MTL0.2s4,MTL0.2,4,0.949999988079071,0.95,0.7362499833106995,0.825,1.0,0.75,1.0,0.05
MTL0s4,MTL0.5s0,MTL0.5,0,0.925000011920929,0.95,0.762499988079071,0.825,1.0,0.4375,1.0,0.15
MTL0s4,MTL0.5s1,MTL0.5,1,0.949999988079071,0.925,0.7462499737739563,0.8,1.0,0.5625,1.0,0.025
MTL0s4,MTL0.5s2,MTL0.5,2,0.975000023841858,0.975,0.7337499856948853,0.875,1.0,0.4875,1.0,0.175
MTL0s4,MTL0.5s3,MTL0.5,3,0.949999988079071,0.95,0.7337499856948853,0.8,1.0,0.575,1.0,0.05
MTL0s4,MTL0.5s4,MTL0.5,4,0.975000023841858,0.95,0.731249988079071,0.9,1.0,0.6,0.9,0.05
MTL0s4,MTL0.8s0,MTL0.8,0,0.949999988079071,0.925,0.7462499737739563,0.9,1.0,0.6,0.925,0.25
MTL0s4,MTL0.8s1,MTL0.8,1,0.925000011920929,0.925,0.7237499952316284,0.9,1.0,0.575,0.975,0.0
MTL0s4,MTL0.8s2,MTL0.8,2,1.0,0.95,0.7274999618530273,0.85,1.0,0.5375,1.0,0.05
MTL0s4,MTL0.8s3,MTL0.8,3,0.949999988079071,0.925,0.7299999594688416,0.875,1.0,0.6125,1.0,0.35
MTL0s4,MTL0.8s4,MTL0.8,4,0.975000023841858,0.95,0.762499988079071,0.875,1.0,0.4625,0.95,0.1
MTL0s4,MTL1s0,MTL1,0,0.925000011920929,0.925,0.59375,0.75,0.95,0.3375,0.775,0.4
MTL0s4,MTL1s1,MTL1,1,0.949999988079071,0.925,0.5649999976158142,0.5,0.6,0.2625,1.0,0.625
MTL0s4,MTL1s2,MTL1,2,0.975000023841858,0.975,0.6100000143051147,0.475,0.85,0.275,0.95,0.475
MTL0s4,MTL1s3,MTL1,3,0.949999988079071,0.95,0.5774999856948853,0.85,0.4,0.1,0.4,0.625
MTL0s4,MTL1s4,MTL1,4,0.975000023841858,0.975,0.5999999642372131,0.875,0.9,0.1875,0.5625,0.4
