name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.5,0,"[1, 0, 1, 1]",False,512,0.5,align=0.84_p=0.4,wv_squarelin_noisy,0.8100000023841858,0.9725000262260436,0.7970833333333333,0.8762500000000001,0.7454166666666667,0.90375,0.5600000023841858,0.9725000262260436,0.9775,0.8075000047683716,0.84,0.4
MTL0.2,0,"[1, 0, 1, 1]",False,512,0.2,align=0.84_p=0.4,wv_squarelin_noisy,0.8075000047683716,0.977500021457672,0.7999999999999999,0.8995833333333333,0.7454166666666667,0.9295833333333332,0.5690000057220459,0.977500021457672,0.9825,0.8075000047683716,0.84,0.4
MTL0.2,0,"[1, 0, 1, 1]",False,512,0.2,align=0.84_p=0.1,wv_squarelin_noisy,0.8025000095367432,0.9725000262260436,0.9145833333333334,0.9833333333333334,0.90375,0.9820833333333332,0.862500011920929,0.9725000262260436,0.9725,0.800000011920929,0.84,0.1
MTL0.5,0,"[1, 0, 1, 1]",False,512,0.5,align=0.84_p=0.1,wv_squarelin_noisy,0.8299999833106995,0.987500011920929,0.9058333333333334,0.9729166666666668,0.8849999999999999,0.9704166666666666,0.8423750400543213,0.987500011920929,0.98,0.8349999785423279,0.84,0.1
TN,2,"[1, 0, 1, 1]",False,512,0.0,align=0.84_p=0.5,wv_squarelin_noisy,0.7975000143051147,0.5450000166893005,0.5504166666666667,0.7258333333333334,0.46125,0.7583333333333334,0.5011250376701355,0.4900000095367432,0.95,0.6200000047683716,0.84,0.5
MTL0.2,1,"[1, 0, 1, 1]",False,512,0.2,align=0.84_p=0.7,wv_squarelin_noisy,0.6825000047683716,0.6825000047683716,0.49208333333333326,0.46833333333333327,0.4333333333333333,0.4758333333333334,0.49675002694129944,0.9649999737739564,0.975,0.6800000071525574,0.84,0.7
MTL0.5,1,"[1, 0, 1, 1]",False,512,0.5,align=0.84_p=0.3,wv_squarelin_noisy,0.8500000238418579,0.977500021457672,0.8354166666666667,0.9275,0.7937499999999998,0.9383333333333334,0.6531250476837158,0.977500021457672,0.97,0.8550000190734863,0.84,0.3
TN,2,"[1, 0, 1, 1]",False,512,0.0,align=0.84_p=0.4,wv_squarelin_noisy,0.8500000238418579,0.4900000095367432,0.6349999999999999,0.8920833333333333,0.57,0.8983333333333333,0.5722500085830688,0.4900000095367432,0.93,0.7799999713897705,0.84,0.4
MTL0.5,2,"[1, 0, 1, 1]",False,512,0.5,align=0.84_p=0.5,wv_squarelin_noisy,0.7875000238418579,0.8700000047683716,0.66625,0.6116666666666667,0.6083333333333334,0.6449999999999999,0.4908750355243683,0.977500021457672,0.9775,0.7900000214576721,0.84,0.5
MTL0.5,1,"[1, 0, 1, 1]",False,512,0.5,align=0.84_p=0.2,wv_squarelin_noisy,0.875,0.975000023841858,0.8895833333333334,0.94125,0.8691666666666666,0.9595833333333332,0.7600000500679016,0.975000023841858,0.98,0.875,0.84,0.2
