learner,algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1NN,full,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825
1NN,random,0.580945,0.6243650000000001,0.651135,0.667195,0.6829600000000001,0.690525,0.699815,0.706305,0.7132799999999999,0.716545,0.7231499999999998,0.7278399999999999,0.7321099999999999,0.7354700000000001,0.74116,0.745105,0.74854,0.7533449999999999,0.7572650000000001,0.7605250000000001,0.76443,0.7664150000000001,0.7691749999999999,0.7704500000000001,0.777255,0.7795799999999999,0.7821049999999999,0.78487,0.7866249999999999,0.78945,0.7928550000000001,0.79332,0.795865,0.799555,0.8006,0.80253,0.8037849999999999,0.806415,0.8065750000000002,0.8092900000000001
1NN,MMD,0.5650000000000001,0.6425000000000001,0.6725,0.69,0.705,0.7050000000000001,0.7150000000000001,0.72,0.7224999999999999,0.7275,0.7224999999999999,0.7325,0.7549999999999999,0.7575,0.7575,0.7625,0.7725,0.78,0.7749999999999999,0.7825,0.7975000000000001,0.7875,0.7875,0.795,0.795,0.8024999999999999,0.8099999999999999,0.805,0.8049999999999999,0.8,0.8,0.8,0.8075000000000001,0.8025,0.8099999999999999,0.8125,0.8150000000000001,0.8175000000000001,0.8225000000000001,0.8149999999999998
1NN,MMD_ste,0.08354342382540624,0.08000154689095432,0.06105612983011827,0.060910445705000156,0.05579478149975493,0.051142321171332716,0.04555624832815944,0.05642811372008941,0.051592008671915594,0.045750850872824406,0.04496738796267209,0.04697722167423842,0.048282911192097225,0.04846656689961065,0.04846656689961065,0.043193776800613044,0.03904542677922498,0.03655404570709858,0.042152809930640925,0.03045522285250006,0.028527208036404867,0.031824673595777564,0.025640553279288523,0.026391833565311558,0.03016209550321321,0.03521715279184307,0.03496397084018823,0.0313181477828256,0.027705653833487765,0.025291685958384547,0.0292043233926656,0.0292043233926656,0.02802448658212212,0.036212183394072915,0.019224639192716653,0.02107640496532045,0.02262157162740989,0.018945331767478892,0.025916266080367813,0.03286838155598224
exemplar,full,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999
exemplar,random,0.580785,0.6235649999999999,0.65221,0.6732,0.6899649999999999,0.704605,0.71487,0.7267149999999999,0.7388250000000001,0.7454400000000001,0.75264,0.7601899999999999,0.76711,0.772365,0.77779,0.7827099999999999,0.787735,0.792475,0.79657,0.8009400000000001,0.80535,0.809385,0.8113100000000001,0.8133549999999999,0.8167700000000002,0.81907,0.8229299999999998,0.82562,0.82677,0.82752,0.83144,0.833605,0.8359099999999999,0.837135,0.8387,0.8395899999999997,0.842075,0.84343,0.8453099999999999,0.846465
exemplar,MMD,0.5650000000000001,0.6475,0.6975,0.7125,0.7249999999999999,0.7325,0.7725000000000001,0.7949999999999999,0.8174999999999999,0.8300000000000001,0.8225,0.82,0.8400000000000001,0.8450000000000001,0.8424999999999999,0.8474999999999999,0.8424999999999999,0.8400000000000001,0.8550000000000001,0.8474999999999999,0.845,0.8425,0.8550000000000001,0.8600000000000001,0.8575000000000002,0.8550000000000001,0.8699999999999999,0.8625,0.865,0.86,0.8549999999999999,0.845,0.85,0.86,0.8549999999999999,0.8575000000000002,0.8625,0.8625,0.8625,0.865
exemplar,MMD_ste,0.08354342382540624,0.08149785507184955,0.05988073345432868,0.06152000073271957,0.06530285234288759,0.06198040005094656,0.05492820073343712,0.03243301953178048,0.01696617872055741,0.02500908841875602,0.03812441444756718,0.043643937273947345,0.04476938000838273,0.04025538174163116,0.044650153751411514,0.032047226472164056,0.028024486582122133,0.022621571627409905,0.01643419077799114,0.013195916782655796,0.01847043588899185,0.025361843335760192,0.028959931452664133,0.019224639192716688,0.018945331767478927,0.020303481901666715,0.020303481901666736,0.021076404965320462,0.017277510720245234,0.01922463919271667,0.020303481901666715,0.02354527825563349,0.02065057511091877,0.012504544209378023,0.01643419077799114,0.01696617872055745,0.015198411760981365,0.015198411760981365,0.015198411760981365,0.019224639192716688
CV,full,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
CV,random,0.58346,0.582885,0.6191150000000001,0.617065,0.6454500000000001,0.642385,0.66173,0.6605800000000001,0.67529,0.6747099999999999,0.6907,0.68838,0.698005,0.6991799999999999,0.7071,0.7089900000000001,0.7155549999999999,0.7179949999999999,0.724015,0.7265149999999999,0.730255,0.7283799999999999,0.73546,0.734885,0.74079,0.7400950000000001,0.745435,0.7450399999999999,0.74953,0.7482150000000001,0.753395,0.753005,0.75556,0.758305,0.76019,0.76295,0.7634999999999998,0.764125,0.76704,0.7674399999999999
CV,MMD,0.5650000000000001,0.615,0.665,0.6025,0.6875,0.6775,0.7025,0.72,0.7375,0.7275,0.7575000000000001,0.7525,0.7525000000000001,0.7499999999999999,0.7525000000000002,0.7575,0.7625000000000001,0.7775,0.8,0.7825,0.7825,0.78,0.7849999999999999,0.7825,0.77,0.775,0.7925,0.7950000000000002,0.7825,0.79,0.7799999999999999,0.7825,0.785,0.7825,0.7899999999999999,0.7975,0.7899999999999998,0.79,0.795,0.7925
CV,MMD_ste,0.08354342382540624,0.06595264797261227,0.07013092597288956,0.074671177507007,0.09283193425479397,0.05557141001643482,0.05492820073343711,0.03556857998507536,0.04787638882280988,0.029746864939927235,0.05061848706984715,0.04727884417359751,0.05557141001643481,0.04842989147483544,0.06554728059231638,0.06367725745257269,0.06434347183019863,0.05745785183437124,0.04842989147483542,0.055315023827654,0.056585339195394324,0.053186089732162066,0.0507236866715204,0.0462145537772311,0.05318608973216207,0.04539996571206346,0.0421949416852167,0.032433019531780474,0.03867965359476529,0.03496397084018822,0.027705653833487782,0.03679628855478688,0.046329754339289125,0.03958775034796735,0.04632975433928911,0.03718059442192821,0.031768791772865464,0.03286838155598224,0.03243301953178048,0.026726344171801603
CV_w=dist,full,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999,0.8499999999999999
