name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
TN,0,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.4,wv_3d_square_noisy_filtered,0.9524999856948853,0.5525000095367432,0.5075,0.9308333333333332,0.3958333333333333,0.8733333333333334,0.7082687020301819,0.5400000214576721,0.995,0.5099999904632568,0.925,0.4
MTL0.2,0,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.4,wv_3d_square_noisy_filtered,0.9175000190734864,0.9975000023841858,0.7220833333333333,0.6887500000000001,0.5933333333333333,0.6175,0.7031700611114502,0.9975000023841858,0.9975,0.9175000190734864,0.925,0.4
MTL0.8,0,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.4,wv_3d_square_noisy_filtered,0.9424999952316284,0.9850000143051147,0.7304166666666667,0.725,0.5991666666666667,0.6349999999999999,0.6949678659439087,0.9975000023841858,0.9975,0.9424999952316284,0.925,0.4
MTL0.5,0,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.4,wv_3d_square_noisy_filtered,0.9800000190734864,0.9725000262260436,0.7324999999999999,0.5441666666666666,0.585,0.55625,0.6994014978408813,0.9950000047683716,0.995,0.9800000190734864,0.925,0.4
TN,0,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.3,wv_3d_square_noisy_filtered,0.9574999809265136,0.5400000214576721,0.625,0.9604166666666668,0.5141666666666667,0.8875000000000001,0.7666959762573242,0.5400000214576721,0.995,0.5224999785423279,0.925,0.3
MTL0.2,1,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.3,wv_3d_square_noisy_filtered,0.912500023841858,0.9950000047683716,0.8300000000000001,0.9429166666666666,0.7275,0.875,0.7620826363563538,0.9950000047683716,0.995,0.912500023841858,0.925,0.3
MTL0.8,0,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.3,wv_3d_square_noisy_filtered,0.9399999976158142,0.9900000095367432,0.8262499999999999,0.8591666666666667,0.73,0.8475,0.759446382522583,0.9950000047683716,0.995,0.9399999976158142,0.925,0.3
MTL0.5,0,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.3,wv_3d_square_noisy_filtered,0.9424999952316284,0.9975000023841858,0.8033333333333333,0.8591666666666665,0.6904166666666667,0.8158333333333334,0.7559314370155334,0.9975000023841858,0.9975,0.9424999952316284,0.925,0.3
MTL0.8,1,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.2,wv_3d_square_noisy_filtered,0.962499976158142,0.9950000047683716,0.8525,0.8775000000000001,0.7591666666666667,0.8370833333333333,0.8301098942756653,0.9950000047683716,0.995,0.962499976158142,0.925,0.2
TN,1,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.2,wv_3d_square_noisy_filtered,0.962499976158142,0.7099999785423279,0.7079166666666667,0.84,0.5783333333333333,0.8150000000000001,0.8072527647018433,0.7099999785423279,0.9975,0.6899999976158142,0.925,0.2
MTL0.2,0,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.3,wv_3d_square_noisy_filtered,0.925000011920929,0.9950000047683716,0.8016666666666667,0.8116666666666666,0.7020833333333334,0.7383333333333334,0.7574692368507385,0.9950000047683716,0.995,0.925000011920929,0.925,0.3
MTL0.5,1,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.2,wv_3d_square_noisy_filtered,0.9725000262260436,0.9975000023841858,0.8429166666666666,0.8783333333333333,0.7520833333333333,0.8300000000000001,0.8252747654914856,0.9975000023841858,0.9975,0.9725000262260436,0.925,0.2
MTL0.2,1,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.2,wv_3d_square_noisy_filtered,0.959999978542328,0.9950000047683716,0.8370833333333333,0.8983333333333334,0.7604166666666666,0.8370833333333332,0.8120879530906677,0.9950000047683716,0.995,0.959999978542328,0.925,0.2
MTL0.8,1,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.1,wv_3d_square_noisy_filtered,0.977500021457672,0.9975000023841858,0.8645833333333334,0.8620833333333332,0.7937500000000001,0.8108333333333334,0.8855839967727661,0.9975000023841858,0.9975,0.977500021457672,0.925,0.1
TN,1,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.1,wv_3d_square_noisy_filtered,0.9674999713897704,0.36250001192092896,0.6070833333333333,0.8975,0.42333333333333334,0.9191666666666668,0.8855839967727661,0.36250001192092896,0.995,0.3449999988079071,0.925,0.1
MTL0.2,1,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.1,wv_3d_square_noisy_filtered,0.9574999809265136,0.9950000047683716,0.8525,0.8904166666666667,0.7633333333333333,0.8166666666666668,0.8821102380752563,0.9950000047683716,0.995,0.9574999809265136,0.925,0.1
TN,0,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.2,wv_3d_square_noisy_filtered,0.959999978542328,0.5400000214576721,0.6745833333333332,0.9883333333333332,0.5579166666666666,0.9483333333333333,0.8241758346557617,0.5400000214576721,0.995,0.5249999761581421,0.925,0.2
MTL0.8,0,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.2,wv_3d_square_noisy_filtered,0.9474999904632568,0.9950000047683716,0.8166666666666668,0.95,0.7075,0.8920833333333333,0.8226373791694641,0.9950000047683716,0.995,0.9474999904632568,0.925,0.2
MTL0.5,1,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.1,wv_3d_square_noisy_filtered,0.9850000143051147,0.9950000047683716,0.8649999999999999,0.8125,0.8008333333333333,0.6983333333333333,0.8834128975868225,0.9950000047683716,0.995,0.9850000143051147,0.925,0.1
MTL0.5,0,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.2,wv_3d_square_noisy_filtered,0.9424999952316284,0.9950000047683716,0.8254166666666668,0.9608333333333332,0.7312500000000001,0.895,0.8226373791694641,0.9950000047683716,0.995,0.9424999952316284,0.925,0.2
MTL0.2,0,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.2,wv_3d_square_noisy_filtered,0.9325000047683716,0.9950000047683716,0.8208333333333334,0.9229166666666666,0.7287500000000001,0.8583333333333334,0.8202198147773743,0.9950000047683716,0.995,0.9325000047683716,0.925,0.2
TN,0,"[256, 1, 256, 256]",None,50,0.0,align=0.925_p=0.1,wv_3d_square_noisy_filtered,0.9649999737739564,0.5400000214576721,0.6741666666666667,0.97125,0.5820833333333333,0.9141666666666666,0.8786365389823914,0.5400000214576721,0.995,0.5224999785423279,0.925,0.1
MTL0.8,0,"[256, 1, 256, 256]",None,50,0.8,align=0.925_p=0.1,wv_3d_square_noisy_filtered,0.9674999713897704,0.9950000047683716,0.8604166666666666,0.8883333333333333,0.7770833333333332,0.8391666666666667,0.887537956237793,0.9950000047683716,0.995,0.9674999713897704,0.925,0.1
MTL0.5,0,"[256, 1, 256, 256]",None,50,0.5,align=0.925_p=0.1,wv_3d_square_noisy_filtered,0.9850000143051147,0.9950000047683716,0.88,0.7895833333333333,0.8075000000000001,0.7312500000000001,0.8777680993080139,0.9950000047683716,0.995,0.9850000143051147,0.925,0.1
MTL0.2,0,"[256, 1, 256, 256]",None,50,0.2,align=0.925_p=0.1,wv_3d_square_noisy_filtered,0.9850000143051147,0.9950000047683716,0.8708333333333332,0.8579166666666667,0.7841666666666667,0.7891666666666667,0.8910117149353027,0.9950000047683716,0.995,0.9850000143051147,0.925,0.1
