,name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
23,MTL0.2,1,"[1, 1, 0, 0]",True,512,0.2,align=1,wv_3d_blob_aligns,0.9975000023841858,1.0,0.90875,0.9358333333333334,0.9817817211151124,1.0,1.0,0.9975000023841858,1.0
24,MTL0.8,1,"[1, 1, 0, 0]",True,512,0.8,align=1,wv_3d_blob_aligns,0.9975000023841858,1.0,0.8762500000000001,0.92625,0.9755975008010864,1.0,1.0,0.9975000023841858,1.0
25,MTL0.5,1,"[100, 1, 0, 0]",True,512,0.5,align=0.99,wv_3d_blob_aligns,0.987500011920929,1.0,0.8029166666666668,0.9741666666666666,0.9798927903175354,1.0,1.0,0.987500011920929,0.99
26,MTL0.8,1,"[1, 0, 0, 0]",True,512,0.8,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.8229166666666666,0.9741666666666666,0.9832271337509156,1.0,0.995,0.9900000095367432,0.985
27,MTL0.5,1,"[1, 1, 0, 0]",True,512,0.5,align=1,wv_3d_blob_aligns,0.9975000023841858,0.9925000071525574,0.8858333333333333,0.9220833333333336,0.9755975008010864,0.9925000071525574,1.0,0.9925000071525574,1.0
28,MTL0.5,1,"[1, 0, 0, 0]",True,512,0.5,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.8391666666666667,0.9741666666666666,0.981382131576538,1.0,1.0,0.9850000143051147,0.985
29,MTL0.2,1,"[1, 0, 0, 0]",True,512,0.2,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.8370833333333333,0.9966666666666668,0.98205304145813,1.0,0.9975,0.9850000143051147,0.985
30,MTL0.5,1,"[1, 100000, 0, 0]",True,512,0.5,align=0.96,wv_3d_blob_aligns,0.9275000095367432,1.0,0.9008333333333334,0.8220833333333334,0.9748497009277344,1.0,1.0,0.9275000095367432,0.96
31,MTL0.8,1,"[1, 100000, 0, 0]",True,512,0.8,align=0.96,wv_3d_blob_aligns,0.862500011920929,1.0,0.8775,0.91625,0.980134904384613,1.0,1.0,0.862500011920929,0.96
32,MTL0.5,1,"[0, 1, 0, 0]",True,512,0.5,align=0.85,wv_3d_blob_aligns,0.9075000286102296,0.9975000023841858,0.8925000000000001,0.9004166666666666,0.9812146425247192,0.9975000023841858,0.9975,0.9075000286102296,0.85
33,MTL0.2,1,"[1, 100000, 0, 0]",True,512,0.2,align=0.96,wv_3d_blob_aligns,0.9350000023841858,1.0,0.9133333333333332,0.8583333333333334,0.980134904384613,1.0,1.0,0.9350000023841858,0.96
34,MTL0.8,1,"[0, 1, 0, 0]",True,512,0.8,align=0.85,wv_3d_blob_aligns,0.9100000262260436,0.9975000023841858,0.86625,0.7879166666666667,0.97391939163208,0.9975000023841858,0.9975,0.9100000262260436,0.85
35,TN,1,"[1, 1, 0, 0]",True,512,0.0,align=1,wv_3d_blob_aligns,0.9975000023841858,0.0024999999441206455,0.012083333333333337,1.0,0.978271782398224,0.0024999999441206455,0.9975,0.04250000044703483,1.0
36,TN,1,"[100, 1, 0, 0]",True,512,0.0,align=0.99,wv_3d_blob_aligns,0.9900000095367432,0.004999999888241291,0.0125,0.99875,0.9835790991783142,0.004999999888241291,0.9925,0.02500000037252903,0.99
37,TN,1,"[1, 0, 0, 0]",True,512,0.0,align=0.985,wv_3d_blob_aligns,0.987500011920929,0.007499999832361937,0.015833333333333335,0.9975,0.9840657711029052,0.007499999832361937,0.99,0.03500000014901161,0.985
38,TN,1,"[1, 100000, 0, 0]",True,512,0.0,align=0.96,wv_3d_blob_aligns,0.9225000143051147,0.05999999865889549,0.5579166666666667,0.9716666666666668,0.9806816577911376,0.05999999865889549,1.0,0.05750000104308128,0.96
39,TN,1,"[0, 1, 0, 0]",True,512,0.0,align=0.85,wv_3d_blob_aligns,0.9275000095367432,0.029999999329447743,0.40375,0.9758333333333334,0.981397032737732,0.029999999329447743,1.0,0.0949999988079071,0.85
40,MTL0.2,0,"[0, 1, 0, 0]",True,512,0.2,align=0.85,wv_3d_blob_aligns,0.9574999809265136,1.0,0.91125,0.8383333333333334,0.9810322523117064,1.0,1.0,0.9574999809265136,0.85
41,TN,0,"[1, 1, 0, 0]",True,512,0.0,align=1,wv_3d_blob_aligns,0.9975000023841858,0.48500001430511475,0.4479166666666667,0.9725,0.9796088933944702,0.48500001430511475,0.9975,0.5350000262260437,1.0
42,MTL0.5,0,"[1, 0, 0, 0]",True,512,0.5,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.7829166666666666,0.9741666666666666,0.975847065448761,1.0,1.0,0.9850000143051147,0.985
43,MTL0.8,0,"[100, 1, 0, 0]",True,512,0.8,align=0.99,wv_3d_blob_aligns,0.9900000095367432,1.0,0.7558333333333334,0.9741666666666666,0.9763740301132202,1.0,0.9975,0.9925000071525574,0.99
44,MTL0.5,0,"[100, 1, 0, 0]",True,512,0.5,align=0.99,wv_3d_blob_aligns,0.9900000095367432,1.0,0.7691666666666667,0.9879166666666668,0.9814008474349976,1.0,1.0,0.9900000095367432,0.99
45,MTL0.2,0,"[1, 1, 0, 0]",True,512,0.2,align=1,wv_3d_blob_aligns,0.9975000023841858,1.0,0.8966666666666666,0.9279166666666668,0.9755975008010864,1.0,0.9975,1.0,1.0
46,MTL0.8,0,"[1, 1, 0, 0]",True,512,0.8,align=1,wv_3d_blob_aligns,0.9975000023841858,1.0,0.8633333333333333,0.94125,0.9672405123710632,1.0,1.0,0.9975000023841858,1.0
47,TN,0,"[1, 0, 0, 0]",True,512,0.0,align=0.985,wv_3d_blob_aligns,0.9850000143051147,0.48500001430511475,0.42875,0.99875,0.9842334985733032,0.48500001430511475,0.99,0.5600000023841858,0.985
48,MTL0.5,0,"[1, 1, 0, 0]",True,512,0.5,align=1,wv_3d_blob_aligns,0.9975000023841858,1.0,0.875,0.92125,0.9704161882400512,1.0,0.9975,1.0,1.0
49,MTL0.8,0,"[1, 0, 0, 0]",True,512,0.8,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.80875,0.9741666666666666,0.9771888852119446,1.0,1.0,0.9850000143051147,0.985
50,TN,0,"[100, 1, 0, 0]",True,512,0.0,align=0.99,wv_3d_blob_aligns,0.9900000095367432,0.9900000095367432,0.8325,0.9741666666666666,0.9815683960914612,0.9900000095367432,0.9925,0.987500011920929,0.99
51,MTL0.2,0,"[100, 1, 0, 0]",True,512,0.2,align=0.99,wv_3d_blob_aligns,0.9900000095367432,1.0,0.7908333333333334,0.9741666666666666,0.9819034934043884,1.0,0.9925,0.9950000047683716,0.99
52,TN,0,"[0, 1, 0, 0]",True,512,0.0,align=0.85,wv_3d_blob_aligns,0.8525000214576721,0.48500001430511475,0.7345833333333333,0.9608333333333334,0.9835855960845948,0.48500001430511475,0.9975,0.4474999904632568,0.85
53,MTL0.5,0,"[1, 100000, 0, 0]",True,512,0.5,align=0.96,wv_3d_blob_aligns,0.9100000262260436,1.0,0.88625,0.7954166666666668,0.98250412940979,1.0,1.0,0.9100000262260436,0.96
54,MTL0.8,0,"[0, 1, 0, 0]",True,512,0.8,align=0.85,wv_3d_blob_aligns,0.8525000214576721,0.9925000071525574,0.8529166666666667,0.8920833333333333,0.9708188772201538,0.9925000071525574,0.9975,0.8475000262260437,0.85
55,MTL0.5,0,"[0, 1, 0, 0]",True,512,0.5,align=0.85,wv_3d_blob_aligns,0.9449999928474426,1.0,0.8850000000000001,0.7145833333333335,0.977931797504425,1.0,1.0,0.9449999928474426,0.85
56,MTL0.8,0,"[1, 100000, 0, 0]",True,512,0.8,align=0.96,wv_3d_blob_aligns,0.9375,1.0,0.8945833333333333,0.8004166666666667,0.9786769151687622,1.0,1.0,0.9375,0.96
57,MTL0.2,0,"[1, 100000, 0, 0]",True,512,0.2,align=0.96,wv_3d_blob_aligns,0.915000021457672,1.0,0.9220833333333336,0.8995833333333333,0.9795881509780884,1.0,0.9975,0.915000021457672,0.96
58,TN,0,"[1, 100000, 0, 0]",True,512,0.0,align=0.96,wv_3d_blob_aligns,0.9350000023841858,0.48750001192092896,0.6116666666666667,0.9166666666666666,0.9835976362228394,0.48750001192092896,0.9975,0.48249998688697815,0.96
59,MTL0.2,0,"[1, 0, 0, 0]",True,512,0.2,align=0.985,wv_3d_blob_aligns,0.9850000143051147,1.0,0.8404166666666667,0.99875,0.9770211577415466,1.0,0.995,0.9900000095367432,0.985
