wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5,test_clf_acc,test_triplet_acc
wv_3d_num_triplets,align=0.8_p=0.0078125,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.6217499999999999,0.6217499999999999,0.91,0.9125,1.0,0.905,0.905,1.0,0.9,0.9,0.9975,,
wv_3d_num_triplets,align=0.8_p=0.0078125,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.6759999999999999,0.6759999999999999,0.8425,0.8425,1.0,0.805,0.805,1.0,0.8025,0.8025,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0078125,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.9975,0.63625,0.63625,0.9375,0.9375,1.0,0.9475,0.9475,1.0,0.955,0.955,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,TN,1,"[256, 1, 256, 256]",512,0.0,0.995,0.8394999999999999,0.8394999999999999,0.975,0.975,1.0,0.965,0.965,1.0,0.9525,0.9525,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,2,"[256, 1, 256, 256]",512,0.0,1.0,0.6719999999999999,0.6719999999999999,0.795,0.795,1.0,0.83,0.83,1.0,0.84,0.84,1.0,,
wv_3d_num_triplets,align=0.8_p=0.015625,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.664,0.664,0.88,0.88,1.0,0.8875,0.8875,1.0,0.87,0.87,1.0,,
wv_3d_num_triplets,align=0.8_p=0.015625,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.70175,0.70175,0.76,0.76,1.0,0.775,0.775,1.0,0.7775,0.7775,1.0,,
wv_3d_num_triplets,align=0.8_p=0.03125,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.741,0.741,0.8,0.8,1.0,0.85,0.8525,1.0,0.825,0.8275,1.0,,
wv_3d_num_triplets,align=0.8_p=0.03125,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.7150000000000001,0.7150000000000001,0.8825,0.885,1.0,0.875,0.8725,1.0,0.905,0.9025,1.0,,
wv_3d_num_triplets,align=0.925_p=0.015625,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.6217499999999999,0.6217499999999999,0.8725,0.875,1.0,0.895,0.8975,1.0,0.9125,0.915,1.0,,
