wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_square_predicted_filtered,align=0.8_filtered,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.9761905,0.995,0.909,0.909,0.8825,0.8825,0.9975,0.8425,0.8425,0.9975,0.8075,0.8075,0.9975
wv_3d_square_predicted_filtered,align=1_filtered,MTL0.5,0,"[1, 1, 1, 1]",512,0.5,0.995,0.96802765,0.995,0.8089999999999999,0.8089999999999999,0.9975,0.995,0.995,1.0,0.9975,0.995,1.0,1.0,0.995
wv_3d_square_predicted_filtered,align=0.925_filtered,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.9785946,0.9975,0.8695,0.8695,0.9075,0.9075,0.995,0.9375,0.9375,0.995,0.9325,0.9325,0.995
wv_3d_square_predicted_filtered,align=0.92_filtered,MTL0.5,0,"[1, 256, 256, 256]",512,0.5,0.995,0.96726644,0.995,0.874,0.874,0.925,0.925,0.995,0.9275,0.9275,0.995,0.93,0.93,0.995
wv_3d_square_predicted_filtered,align=0.83_filtered,MTL0.5,0,"[0, 1, 1, 1]",512,0.5,0.995,0.973176,0.995,0.91275,0.91275,0.965,0.965,0.995,0.9275,0.9275,0.995,0.8925,0.8925,0.995
wv_3d_square_predicted_filtered,align=0.5_filtered,MTL0.5,0,"[0, 0, 1, 1]",512,0.5,0.9975,0.9726244,0.9975,0.9172499999999999,0.9172499999999999,0.7825,0.7825,0.9975,0.6875,0.6875,0.9975,0.705,0.705,0.9975
