wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,0,"[256, 1, 256, 256]",512,0,1.0,0.69675,0.69675,0.8625,0.8625,1.0,0.8925,0.8925,1.0,0.9075,0.9075,1.0
wv_3d_num_triplets,align=0.925_p=0.0625,TN,0,"[256, 1, 256, 256]",512,0,1.0,0.7505,0.7505,0.845,0.845,1.0,0.8525,0.8525,1.0,0.855,0.855,1.0
wv_3d_num_triplets,align=0.925_p=0.03125,TN,0,"[256, 1, 256, 256]",512,0,1.0,0.7497499999999999,0.7497499999999999,0.83,0.83,1.0,0.845,0.845,1.0,0.87,0.87,1.0
wv_3d_num_triplets,align=0.925_p=0.015625,TN,0,"[256, 1, 256, 256]",512,0,1.0,0.7252500000000001,0.7252500000000001,0.7825,0.7825,1.0,0.83,0.83,1.0,0.8375,0.8375,1.0
wv_3d_num_triplets,align=0.925_p=0.125,TN,0,"[256, 1, 256, 256]",512,0,1.0,0.80525,0.80525,0.815,0.815,1.0,0.84,0.84,1.0,0.865,0.865,1.0
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,0,"[256, 1, 256, 256]",512,0,1.0,0.6887500000000001,0.6887500000000001,0.875,0.875,1.0,0.915,0.915,1.0,0.925,0.925,1.0
wv_3d_num_triplets,align=0.925_p=0.25,TN,0,"[256, 1, 256, 256]",512,0,1.0,0.8362499999999999,0.8362499999999999,0.8475,0.8475,1.0,0.855,0.855,1.0,0.875,0.875,1.0
wv_3d_num_triplets,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0,1.0,0.85825,0.85825,0.815,0.815,1.0,0.8725,0.8725,1.0,0.91,0.91,1.0
