weights,scores
"[10000, 0, -1, 0]",0.6875
"[0, 1, 1, 0]",0.71875
"[10000, 0, -1, -10000]",0.65625
"[0, 0, 10000, 0]",0.453125
"[0, -1, 0, 0]",0.4375
"[100, -1, 0, 10000]",0.546875
"[0, 0, 0, -100]",0.4375
"[-1, -1, 0, 1]",0.328125
"[0, -1, 0, 10000]",0.359375
"[0, -10000, 1, -100]",0.4375
"[0, 0, -100, -100]",0.4375
"[-10000, 0, 10000, 1]",0.3125
"[100, 1, 0, 10000]",0.59375
"[0, 0, 0, 0]",0.4375
"[-100, 0, 0, 0]",0.4375
"[-100, 10000, 0, 0]",0.46875
"[0, 100, 0, 1]",0.609375
"[0, 0, 0, 0]",0.4375
"[-100, 0, 100, 0]",0.3125
"[10000, 0, -100, -10000]",0.65625
"[-1, 0, 0, 10000]",0.5
"[0, -1, 10000, 10000]",0.421875
"[0, 0, 0, 1]",0.453125
"[-1, 0, 0, -100]",0.4375
"[10000, 0, -100, -100]",0.765625
"[-10000, 0, 0, 0]",0.4375
"[0, 0, -10000, 0]",0.4375
"[-100, 0, 0, -100]",0.4375
"[100, 0, -10000, 0]",0.453125
"[0, 1, 0, 0]",0.65625
"[1, 100, 0, 0]",0.984375
"[-1, 0, -10000, 0]",0.4375
"[0, 0, -100, 0]",0.4375
"[0, 0, 0, 0]",0.4375
"[-1, -1, 0, -10000]",0.4375
"[-100, 10000, 0, 0]",0.46875
"[10000, 10000, -1, 100]",1.0
"[1, 0, 0, 0]",0.703125
"[-10000, -10000, 100, 10000]",0.328125
"[-10000, 0, 0, 0]",0.4375
"[10000, 0, -10000, 0]",0.65625
"[-10000, -1, 0, -10000]",0.4375
"[0, -1, 0, 0]",0.4375
"[-10000, 1, -1, -1]",0.4375
"[-100, 0, -10000, 1]",0.4375
"[-100, 100, 0, 0]",0.546875
"[-1, 10000, 0, -1]",0.53125
"[0, 100, -10000, 0]",0.453125
"[-100, 0, 0, 10000]",0.4375
"[0, 100, -10000, 0]",0.453125
"[0, 1, -100, -10000]",0.4375
"[-100, 0, -1, 1]",0.4375
"[-100, 100, -100, 0]",0.546875
"[0, 0, 10000, -10000]",0.59375
"[0, -100, 0, -10000]",0.4375
"[0, -10000, 0, 10000]",0.28125
"[0, -1, 0, -1]",0.4375
"[-1, 0, 0, -100]",0.4375
"[-1, 0, -1, 100]",0.4375
"[-10000, -10000, 0, -100]",0.4375
"[-10000, 0, 100, -100]",0.4375
"[-1, 100, 0, 10000]",0.65625
"[-1, 100, -100, -100]",0.609375
"[10000, 100, -1, 0]",0.953125
"[100, -10000, -100, 10000]",0.296875
"[1, -1, 0, -10000]",0.4375
"[-1, 0, 10000, -10000]",0.4375
"[0, 0, 0, -10000]",0.4375
"[0, -100, 0, 0]",0.4375
"[10000, 0, 1, -1]",0.703125
"[10000, 10000, 0, 0]",1.0
"[0, 0, 0, 100]",0.453125
"[0, 0, 1, -1]",0.59375
"[0, 10000, 0, 10000]",0.71875
"[10000, 0, 10000, 10000]",0.609375
"[-100, 100, 1, 0]",0.53125
"[-10000, 0, -100, 0]",0.4375
"[0, 0, 1, -10000]",0.4375
"[-10000, 0, -10000, 0]",0.4375
"[0, 10000, 0, 0]",0.65625
"[0, 0, 0, 0]",0.4375
"[0, 0, 0, -10000]",0.4375
"[-10000, 0, -10000, 0]",0.4375
"[100, 100, 0, 0]",1.0
"[10000, 0, 1, 0]",0.6875
"[0, 0, 0, 0]",0.4375
