name,seed,weights,filter,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.5,0,"[32, 128, 1, 1]",False,50,0.5,align=0.94,wv_linear_sm_0_aligns,0.9200000166893004,0.9399999976158142,0.98125,0.9554166666666668,0.9204166666666668,0.9754166666666668,0.9706250429153442,0.9399999976158142,0.9425,0.9175000190734864,0.94
MTL0.5,1,"[0, 1, 1, 1]",False,50,0.5,align=0.77,wv_linear_sm_0_aligns,0.7649999856948853,0.9275000095367432,0.9825,0.9741666666666668,0.9558333333333334,0.97125,0.9663750529289246,0.9275000095367432,0.945,0.7549999952316284,0.77
MTL0.5,1,"[1, 0, 1, 1]",False,50,0.5,align=0.84,wv_linear_sm_0_aligns,0.8075000047683716,0.925000011920929,0.9733333333333332,0.9545833333333332,0.93875,0.97125,0.9637500643730164,0.925000011920929,0.9325,0.8149999976158142,0.84
MTL0.5,1,"[32, 128, 1, 1]",False,50,0.5,align=0.94,wv_linear_sm_0_aligns,0.9175000190734864,0.9549999833106996,0.9808333333333332,0.9604166666666668,0.9025,0.9754166666666668,0.9637500643730164,0.9549999833106996,0.9375,0.9300000071525574,0.94
MTL0.5,1,"[1, 1, 1, 1]",False,50,0.5,align=0.92,wv_linear_sm_0_aligns,0.912500023841858,0.9549999833106996,0.985,0.94,0.9408333333333332,0.9695833333333334,0.9671250581741332,0.9549999833106996,0.9525,0.9075000286102296,0.92
MTL0.5,0,"[1, 1, 1, 1]",False,50,0.5,align=0.92,wv_linear_sm_0_aligns,0.8999999761581421,0.9375,0.98,0.9345833333333332,0.93375,0.975,0.9586250185966492,0.9375,0.9375,0.9024999737739564,0.92
MTL0.5,0,"[1, 0, 1, 1]",False,50,0.5,align=0.84,wv_linear_sm_0_aligns,0.7900000214576721,0.9549999833106996,0.9745833333333334,0.9458333333333332,0.9441666666666664,0.9716666666666668,0.9625000357627868,0.9549999833106996,0.94,0.7900000214576721,0.84
MTL0.5,0,"[0, 1, 1, 1]",False,50,0.5,align=0.77,wv_linear_sm_0_aligns,0.7749999761581421,0.9375,0.9729166666666664,0.9670833333333334,0.94375,0.965,0.9566250443458556,0.9375,0.9425,0.7724999785423279,0.77
MTL0.5,2,"[1, 1, 1, 1]",False,50,0.5,align=0.92,wv_linear_sm_0_aligns,0.9049999713897704,0.9474999904632568,0.9795833333333333,0.93375,0.93,0.97625,0.9608750343322754,0.9474999904632568,0.93,0.9175000190734864,0.92
MTL0.5,2,"[1, 0, 1, 1]",False,50,0.5,align=0.84,wv_linear_sm_0_aligns,0.8075000047683716,0.9449999928474426,0.9675,0.9416666666666668,0.9383333333333334,0.9691666666666668,0.9687500596046448,0.9449999928474426,0.935,0.8050000071525574,0.84
MTL0.5,2,"[0, 1, 1, 1]",False,50,0.5,align=0.77,wv_linear_sm_0_aligns,0.8075000047683716,0.9375,0.9795833333333333,0.9695833333333334,0.95625,0.9666666666666668,0.9621250629425048,0.9375,0.9275,0.8050000071525574,0.77
MTL0.5,2,"[32, 128, 1, 1]",False,50,0.5,align=0.94,wv_linear_sm_0_aligns,0.9175000190734864,0.9325000047683716,0.98125,0.9579166666666667,0.91,0.9766666666666666,0.9497500658035278,0.9325000047683716,0.945,0.9049999713897704,0.94
