name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.8,1,"[1, 1, 1, 1]",False,512,0.8,align=1,wv_3d_linear0_aligns,0.6825000047683716,0.9925000071525574,0.5879166666666666,0.6970833333333334,0.5929166666666666,0.7695833333333333,0.784500002861023,1.0,1.0,0.6825000047683716,1.0
TN,1,"[1, 1, 1, 1]",False,512,0.0,align=1,wv_3d_linear0_aligns,0.7099999785423279,0.6499999761581421,0.5375,0.73,0.5341666666666667,0.775,0.7820000052452087,0.6499999761581421,1.0,0.6474999785423279,1.0
MTL0.8,0,"[1, 1, 1, 1]",False,512,0.8,align=1,wv_3d_linear0_aligns,0.699999988079071,0.987500011920929,0.59,0.6933333333333334,0.59375,0.7320833333333333,0.7763333320617676,1.0,1.0,0.699999988079071,1.0
TN,0,"[1, 1, 1, 1]",False,512,0.0,align=1,wv_3d_linear0_aligns,0.7225000262260437,0.5400000214576721,0.48666666666666664,0.7233333333333333,0.4933333333333334,0.7358333333333333,0.7804999947547913,0.48500001430511475,0.9975,0.6850000023841858,1.0
MTL0.2,1,"[0, 1000, 1, 1]",False,512,0.2,align=0.82,wv_3d_linear0_aligns,0.7549999952316284,1.0,0.8333333333333334,0.9658333333333332,0.8320833333333333,0.98375,0.9774999618530272,1.0,0.9975,0.7549999952316284,0.82
MTL0.5,1,"[0, 1000, 1, 1]",False,512,0.5,align=0.82,wv_3d_linear0_aligns,0.737500011920929,1.0,0.8145833333333333,0.9625,0.8195833333333334,0.9820833333333332,0.9749999642372132,1.0,0.9975,0.737500011920929,0.82
MTL0.5,1,"[1, 1000000, 1, 1]",False,512,0.5,align=0.9,wv_3d_linear0_aligns,0.8075000047683716,1.0,0.9120833333333334,0.965,0.9295833333333334,0.9820833333333332,0.9800000190734864,1.0,0.9975,0.8075000047683716,0.9
MTL0.2,1,"[1, 1, 1, 1]",False,512,0.2,align=1,wv_3d_linear0_aligns,0.6775000095367432,0.987500011920929,0.59,0.7225,0.5875,0.7608333333333333,0.7870000004768372,0.9975000023841858,1.0,0.6775000095367432,1.0
MTL0.8,1,"[1, 1000000, 1, 1]",False,512,0.8,align=0.9,wv_3d_linear0_aligns,0.8149999976158142,1.0,0.9016666666666668,0.9583333333333334,0.90125,0.97625,0.9681666493415833,1.0,0.9975,0.8149999976158142,0.9
MTL0.8,1,"[0, 1000, 1, 1]",False,512,0.8,align=0.82,wv_3d_linear0_aligns,0.7549999952316284,1.0,0.8300000000000001,0.9695833333333334,0.8220833333333334,0.9820833333333332,0.9613333344459534,1.0,1.0,0.7549999952316284,0.82
MTL0.8,1,"[0, 1, 1, 1]",False,512,0.8,align=0.87,wv_3d_linear0_aligns,0.48750001192092896,0.962499976158142,0.5929166666666666,0.7633333333333333,0.5941666666666666,0.8004166666666667,0.753333330154419,1.0,1.0,0.48750001192092896,0.87
MTL0.5,1,"[1, 1, 1, 1]",False,512,0.5,align=1,wv_3d_linear0_aligns,0.6949999928474426,0.9850000143051147,0.6029166666666667,0.6854166666666668,0.6000000000000001,0.7291666666666666,0.7818333506584167,0.9975000023841858,1.0,0.6949999928474426,1.0
TN,1,"[0, 1, 1, 1]",False,512,0.0,align=0.87,wv_3d_linear0_aligns,0.5824999809265137,0.5950000286102295,0.5841666666666666,0.7554166666666666,0.5808333333333333,0.7841666666666667,0.7494999766349792,0.5899999737739563,0.995,0.5400000214576721,0.87
TN,1,"[1, 1000000, 1, 1]",False,512,0.0,align=0.9,wv_3d_linear0_aligns,0.7425000071525574,0.09000000357627869,0.7087500000000001,0.9833333333333334,0.69875,0.9858333333333332,0.978333294391632,0.09000000357627869,0.97,0.39250001311302185,0.9
MTL0.2,1,"[1, 1000000, 1, 1]",False,512,0.2,align=0.9,wv_3d_linear0_aligns,0.7649999856948853,1.0,0.9141666666666668,0.9658333333333332,0.9120833333333334,0.9808333333333332,0.9745000004768372,1.0,0.9975,0.7649999856948853,0.9
MTL0.8,1,"[1, 10000, 1, 1]",False,512,0.8,align=0.95,wv_3d_linear0_aligns,0.8450000286102295,0.9975000023841858,0.8620833333333334,0.9633333333333332,0.8612500000000001,0.975,0.968833327293396,0.9975000023841858,1.0,0.8424999713897705,0.95
