split_pool,fold,condition,q_a,q_p,q_n,pred,pred_time
dc0,RIRO,random,img/bm/test/1/143.jpg,img/bm/train/0/85.jpg,img/bm/train/1/157.jpg,1,10.006923
dc0,RIRO,random,img/bm/test/0/93.jpg,img/bm/train/0/54.jpg,img/bm/train/1/153.jpg,0,4.702228
dc0,RIRO,random,img/bm/test/1/197.jpg,img/bm/train/0/9.jpg,img/bm/train/1/182.jpg,1,10.395188
dc0,RIRO,random,img/bm/test/1/148.jpg,img/bm/train/0/25.jpg,img/bm/train/1/170.jpg,1,5.942273
dc0,RIRO,random,img/bm/test/0/45.jpg,img/bm/train/0/24.jpg,img/bm/train/1/111.jpg,1,4.432614
dc0,RIRO,random,img/bm/test/0/41.jpg,img/bm/train/0/36.jpg,img/bm/train/1/100.jpg,0,4.655464
dc0,RIRO,random,img/bm/test/1/194.jpg,img/bm/train/0/83.jpg,img/bm/train/1/178.jpg,1,3.989342
dc0,RIRO,random,img/bm/test/0/97.jpg,img/bm/train/0/80.jpg,img/bm/train/1/100.jpg,0,9.44399
dc0,RIRO,random,img/bm/test/0/47.jpg,img/bm/train/0/4.jpg,img/bm/train/1/182.jpg,0,7.115081
dc0,RIRO,random,img/bm/test/1/198.jpg,img/bm/train/0/72.jpg,img/bm/train/1/108.jpg,1,9.06118
