split_pool,fold,condition,q_a,q_p,q_n,pred,pred_time
dc1,NINO,mtlx_f_d50,img/bm/test/0/47.jpg,img/bm/train/0/36.jpg,img/bm/train/1/137.jpg,1,1.740569
dc1,NINO,mtlx_f_d50,img/bm/test/0/42.jpg,img/bm/train/0/18.jpg,img/bm/train/1/131.jpg,0,1.592131
dc1,NINO,mtlx_f_d50,img/bm/test/1/146.jpg,img/bm/train/1/139.jpg,img/bm/train/0/36.jpg,1,1.891213
dc1,NINO,mtlx_f_d50,img/bm/test/0/93.jpg,img/bm/train/0/87.jpg,img/bm/train/1/168.jpg,0,2.73954
dc1,NINO,mtlx_f_d50,img/bm/test/0/45.jpg,img/bm/train/0/36.jpg,img/bm/train/1/139.jpg,0,11.057762
dc1,NINO,mtlx_f_d50,img/bm/test/1/194.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,1.353198
dc1,NINO,mtlx_f_d50,img/bm/test/1/197.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,1.507642
dc1,NINO,mtlx_f_d50,img/bm/test/0/48.jpg,img/bm/train/0/36.jpg,img/bm/train/1/115.jpg,0,1.707239
dc1,NINO,mtlx_f_d50,img/bm/test/1/196.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,1.804602
dc1,NINO,mtlx_f_d50,img/bm/test/0/94.jpg,img/bm/train/0/66.jpg,img/bm/train/1/168.jpg,0,1.882976
dc1,NINO,mtlx_f_d50,img/bm/test/1/191.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,251.429603
dc1,NINO,mtlx_f_d50,img/bm/test/1/140.jpg,img/bm/train/1/139.jpg,img/bm/train/0/36.jpg,1,89.308469
dc1,NINO,mtlx_f_d50,img/bm/test/1/198.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,1.463806
dc0,RIRO,random,img/bm/test/1/142.jpg,img/bm/train/0/53.jpg,img/bm/train/1/119.jpg,1,-1.0
dc0,RIRO,random,img/bm/test/1/195.jpg,img/bm/train/0/29.jpg,img/bm/train/1/189.jpg,1,4.487068
dc0,RIRO,random,img/bm/test/1/148.jpg,img/bm/train/0/29.jpg,img/bm/train/1/135.jpg,1,3.51055
dc0,RIRO,random,img/bm/test/0/43.jpg,img/bm/train/0/17.jpg,img/bm/train/1/150.jpg,0,3.560186
dc0,RIRO,random,img/bm/test/0/48.jpg,img/bm/train/0/72.jpg,img/bm/train/1/167.jpg,0,6.513433
dc0,RIRO,random,img/bm/test/1/149.jpg,img/bm/train/0/84.jpg,img/bm/train/1/136.jpg,1,3.623077
dc0,RIRO,random,img/bm/test/0/96.jpg,img/bm/train/0/23.jpg,img/bm/train/1/156.jpg,0,5.908708
dc0,RIRO,random,img/bm/test/0/91.jpg,img/bm/train/0/88.jpg,img/bm/train/1/130.jpg,0,14.861918
dc0,RIRO,random,img/bm/test/0/97.jpg,img/bm/train/0/2.jpg,img/bm/train/1/138.jpg,1,4.736149
dc0,RIRO,random,img/bm/test/0/94.jpg,img/bm/train/0/12.jpg,img/bm/train/1/167.jpg,0,5.826943
dc0,RIRO,random,img/bm/test/1/199.jpg,img/bm/train/0/87.jpg,img/bm/train/1/104.jpg,0,2.008072
dc0,RIRO,random,img/bm/test/1/146.jpg,img/bm/train/0/25.jpg,img/bm/train/1/183.jpg,1,5.672901
dc0,RIRO,random,img/bm/test/0/92.jpg,img/bm/train/0/67.jpg,img/bm/train/1/180.jpg,0,2.182212
dc0,RIRO,random,img/bm/test/0/98.jpg,img/bm/train/0/63.jpg,img/bm/train/1/168.jpg,0,18.516258
dc0,RIRO,random,img/bm/test/1/192.jpg,img/bm/train/0/82.jpg,img/bm/train/1/161.jpg,0,5.913509
dc0,RIRO,random,img/bm/test/0/44.jpg,img/bm/train/0/65.jpg,img/bm/train/1/139.jpg,0,6.575846
dc0,RIRO,random,img/bm/test/1/198.jpg,img/bm/train/0/32.jpg,img/bm/train/1/127.jpg,1,2.020883
dc0,RIRO,random,img/bm/test/0/41.jpg,img/bm/train/0/15.jpg,img/bm/train/1/109.jpg,0,3.069176
dc0,RIRO,random,img/bm/test/1/143.jpg,img/bm/train/0/5.jpg,img/bm/train/1/134.jpg,1,5.065069
dc0,RIRO,random,img/bm/test/1/196.jpg,img/bm/train/0/34.jpg,img/bm/train/1/153.jpg,1,2.176812
