session.id,question.id,split.condition,image.path,anwser.similar
187,8086,NINO mtl1_d512,img/bm/train/0/83.jpg,1
187,8098,NINO mtl1_d512,img/bm/test/1/195.jpg,2
187,8098,NINO mtl1_d512,img/bm/train/1/139.jpg,2
187,8098,NINO mtl1_d512,img/bm/train/0/83.jpg,2
187,8096,NINO mtl1_d512,img/bm/test/1/193.jpg,2
187,8096,NINO mtl1_d512,img/bm/train/1/127.jpg,2
187,8096,NINO mtl1_d512,img/bm/train/0/79.jpg,2
187,8073,NINO mtl1_d512,img/bm/test/0/90.jpg,1
187,8073,NINO mtl1_d512,img/bm/train/0/71.jpg,1
187,8073,NINO mtl1_d512,img/bm/train/1/137.jpg,1
187,8082,NINO mtl1_d512,img/bm/test/0/99.jpg,2
187,8082,NINO mtl1_d512,img/bm/train/0/71.jpg,2
187,8082,NINO mtl1_d512,img/bm/train/1/137.jpg,2
187,8084,NINO mtl1_d512,img/bm/test/1/141.jpg,2
187,8084,NINO mtl1_d512,img/bm/train/1/137.jpg,2
187,8084,NINO mtl1_d512,img/bm/train/0/83.jpg,2
187,8063,NINO mtl1_d512,img/bm/test/0/40.jpg,1
187,8063,NINO mtl1_d512,img/bm/train/0/12.jpg,1
187,8063,NINO mtl1_d512,img/bm/train/1/137.jpg,1
187,8071,NINO mtl1_d512,img/bm/test/0/48.jpg,1
187,8071,NINO mtl1_d512,img/bm/train/0/54.jpg,1
187,8071,NINO mtl1_d512,img/bm/train/1/139.jpg,1
187,8066,NINO mtl1_d512,img/bm/test/0/43.jpg,1
187,8066,NINO mtl1_d512,img/bm/train/0/83.jpg,1
187,8066,NINO mtl1_d512,img/bm/train/1/100.jpg,1
187,8087,NINO mtl1_d512,img/bm/test/1/144.jpg,1
187,8087,NINO mtl1_d512,img/bm/train/1/139.jpg,1
187,8087,NINO mtl1_d512,img/bm/train/0/83.jpg,1
188,8211,NIFO mtl1_d512,img/bm/test/1/148.jpg,2
188,8211,NIFO mtl1_d512,img/bm/train/1/139.jpg,2
188,8211,NIFO mtl1_d512,img/bm/train/0/51.jpg,2
188,8222,NIFO mtl1_d512,img/bm/test/1/199.jpg,1
188,8222,NIFO mtl1_d512,img/bm/train/1/139.jpg,1
188,8222,NIFO mtl1_d512,img/bm/train/0/51.jpg,1
188,8187,NIFO mtl1_d512,img/bm/test/0/44.jpg,1
188,8187,NIFO mtl1_d512,img/bm/train/0/71.jpg,1
188,8187,NIFO mtl1_d512,img/bm/train/1/173.jpg,1
188,8198,NIFO mtl1_d512,img/bm/test/0/95.jpg,2
188,8198,NIFO mtl1_d512,img/bm/train/0/18.jpg,2
188,8198,NIFO mtl1_d512,img/bm/train/1/173.jpg,2
188,8209,NIFO mtl1_d512,img/bm/test/1/146.jpg,2
188,8209,NIFO mtl1_d512,img/bm/train/1/152.jpg,2
188,8209,NIFO mtl1_d512,img/bm/train/0/51.jpg,2
188,8203,NIFO mtl1_d512,img/bm/test/1/140.jpg,2
188,8203,NIFO mtl1_d512,img/bm/train/1/172.jpg,2
188,8203,NIFO mtl1_d512,img/bm/train/0/51.jpg,2
188,8214,NIFO mtl1_d512,img/bm/test/1/191.jpg,1
188,8214,NIFO mtl1_d512,img/bm/train/1/120.jpg,1
188,8214,NIFO mtl1_d512,img/bm/train/0/51.jpg,1
188,8190,NIFO mtl1_d512,img/bm/test/0/47.jpg,2
188,8190,NIFO mtl1_d512,img/bm/train/0/83.jpg,2
188,8190,NIFO mtl1_d512,img/bm/train/1/161.jpg,2
188,8199,NIFO mtl1_d512,img/bm/test/0/96.jpg,2
188,8199,NIFO mtl1_d512,img/bm/train/0/18.jpg,2
188,8199,NIFO mtl1_d512,img/bm/train/1/173.jpg,2
188,8194,NIFO mtl1_d512,img/bm/test/0/91.jpg,2
188,8194,NIFO mtl1_d512,img/bm/train/0/18.jpg,2
188,8194,NIFO mtl1_d512,img/bm/train/1/173.jpg,2
188,8202,NIFO mtl1_d512,img/bm/test/0/99.jpg,2
188,8202,NIFO mtl1_d512,img/bm/train/0/71.jpg,2
188,8202,NIFO mtl1_d512,img/bm/train/1/173.jpg,2
188,8216,NIFO mtl1_d512,img/bm/test/1/193.jpg,2
188,8216,NIFO mtl1_d512,img/bm/train/1/127.jpg,2
188,8216,NIFO mtl1_d512,img/bm/train/0/51.jpg,2
188,8195,NIFO mtl1_d512,img/bm/test/0/92.jpg,2
188,8195,NIFO mtl1_d512,img/bm/train/0/71.jpg,2
188,8195,NIFO mtl1_d512,img/bm/train/1/173.jpg,2
188,1532,NIFO mtl1_d512,img/bm/valid/1/176.jpg,1
188,1532,NIFO mtl1_d512,img/bm/test/1/195.jpg,1
188,8201,NIFO mtl1_d512,img/bm/test/0/98.jpg,1
